datetime;total_votes;cmapukocmankypum;ckkpss;SuokSuok;KOCTOPE3;tearjerker;quick_justice;BlackIrony;Helter;telegraf;X-Rayer
2020-05-06 00:00:59;3;0;0;0;0;1;0;0;0;0;0
2020-05-06 00:01:58;3;0;0;0;0;1;0;0;0;0;0
2020-05-06 00:02:59;4;0;0;0;0;1;0;0;0;0;0
2020-05-06 00:03:58;5;0;1;0;0;1;0;0;0;0;0
2020-05-06 00:04:59;6;0;1;0;0;1;0;0;0;0;0
2020-05-06 00:05:59;6;0;1;0;0;1;0;0;0;0;0
2020-05-06 00:06:59;6;0;1;0;0;1;0;0;0;0;0
2020-05-06 00:07:58;9;2;1;0;0;1;0;0;0;0;0
2020-05-06 00:08:59;10;2;1;0;0;2;0;0;0;0;0
2020-05-06 00:09:59;10;2;1;0;0;2;0;0;0;0;0
2020-05-06 00:10:58;10;2;1;0;0;2;0;0;0;0;0
2020-05-06 00:11:59;11;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:12:58;12;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:13:59;12;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:14:59;12;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:15:59;13;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:16:58;13;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:17:59;14;2;1;1;0;2;0;0;0;0;0
2020-05-06 00:18:58;15;2;1;2;0;2;0;0;0;0;0
2020-05-06 00:19:59;16;2;1;3;0;2;0;0;0;0;0
2020-05-06 00:20:59;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:21:58;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:22:59;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:23:59;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:24:58;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:25:59;17;2;1;4;0;2;0;0;0;0;0
2020-05-06 00:26:59;18;2;1;5;0;2;0;0;0;0;0
2020-05-06 00:27:59;19;2;1;5;0;3;0;0;0;0;0
2020-05-06 00:28:58;20;2;1;5;0;3;0;0;0;0;0
2020-05-06 00:29:59;20;2;1;6;0;3;0;0;0;0;0
2020-05-06 00:30:58;20;2;1;6;0;3;0;0;0;0;0
2020-05-06 00:31:59;21;2;1;6;0;4;0;0;0;0;0
2020-05-06 00:32:59;22;2;1;6;1;4;0;0;0;0;0
