datetime;total_votes;Zubasteg;Mutafakaz;gizm0;megaslowpoke;sexychinagay;Zadorno;navalny;Zvag;Wiedemann;Shady
2020-05-13 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-05-13 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-05-13 00:02:59;2;0;0;0;0;0;0;0;0;1;0
2020-05-13 00:03:58;5;0;2;0;0;0;0;0;0;1;1
2020-05-13 00:04:59;5;0;2;0;0;0;0;0;0;1;1
2020-05-13 00:06:00;5;0;2;0;0;0;0;0;0;1;1
2020-05-13 00:06:58;5;0;2;0;0;0;0;0;0;1;1
2020-05-13 00:07:59;6;0;2;0;0;0;0;0;0;1;1
2020-05-13 00:08:59;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:09:58;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:10:59;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:11:59;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:12:58;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:13:59;7;0;2;0;0;0;0;1;0;1;1
2020-05-13 00:14:59;9;0;2;0;2;0;0;1;0;1;1
2020-05-13 00:15:58;12;0;2;0;3;0;0;1;0;1;2
2020-05-13 00:16:59;13;0;2;0;3;0;0;1;0;1;2
2020-05-13 00:17:59;13;0;2;0;3;0;0;1;0;1;2
2020-05-13 00:18:58;14;0;2;0;3;0;0;2;0;1;2
2020-05-13 00:19:59;14;0;2;0;3;0;0;2;0;1;2
2020-05-13 00:20:59;14;0;2;0;3;0;0;2;0;1;2
2020-05-13 00:21:58;14;0;2;0;3;0;0;2;0;1;2
2020-05-13 00:22:59;14;0;2;0;3;0;0;2;0;1;2
2020-05-13 00:23:59;16;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:24:59;17;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:25:58;17;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:26:59;17;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:27:58;17;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:28:59;18;0;3;0;3;0;0;2;0;2;2
2020-05-13 00:29:59;19;0;3;0;4;0;0;2;0;2;2
2020-05-13 00:30:59;20;0;3;0;5;0;0;2;0;2;2
2020-05-13 00:31:58;20;0;3;0;5;0;0;2;0;2;2
2020-05-13 00:32:59;20;0;3;0;5;0;0;2;0;2;2
2020-05-13 00:33:59;20;0;3;0;5;0;0;2;0;2;2
2020-05-13 00:34:58;20;0;3;0;5;0;0;2;0;2;2
2020-05-13 00:35:59;25;0;3;0;5;0;0;2;5;2;2
2020-05-13 00:36:59;30;0;3;0;5;0;0;2;5;2;2
2020-05-13 00:37:58;30;0;3;0;5;0;0;2;5;2;2
