datetime;total_votes
2020-05-26 23:00:59;0
2020-05-26 23:01:58;0
2020-05-26 23:02:59;0
2020-05-26 23:03:58;0
2020-05-26 23:04:59;0
2020-05-26 23:05:58;0
2020-05-26 23:06:59;0
2020-05-26 23:07:59;0
2020-05-26 23:08:58;0
2020-05-26 23:09:59;0
2020-05-26 23:10:59;0
2020-05-26 23:11:59;0
2020-05-26 23:12:58;0
2020-05-26 23:13:59;0
2020-05-26 23:14:59;0
2020-05-26 23:15:58;0
2020-05-26 23:16:59;0
2020-05-26 23:17:59;0
2020-05-26 23:18:59;0
2020-05-26 23:19:58;0
2020-05-26 23:20:59;0
2020-05-26 23:21:58;0
2020-05-26 23:22:59;0
2020-05-26 23:23:59;0
2020-05-26 23:24:58;0
2020-05-26 23:25:59;0
2020-05-26 23:26:59;0
2020-05-26 23:27:59;0
2020-05-26 23:28:58;0
2020-05-26 23:29:59;0
2020-05-26 23:30:58;0
2020-05-26 23:31:59;0
2020-05-26 23:32:59;0
2020-05-26 23:33:59;0
2020-05-26 23:34:58;0
2020-05-26 23:35:59;0
2020-05-26 23:36:59;0
2020-05-26 23:37:58;0
2020-05-26 23:38:59;0
2020-05-26 23:39:59;0
2020-05-26 23:40:59;0
2020-05-26 23:41:58;0
2020-05-26 23:42:59;0
2020-05-26 23:43:59;0
2020-05-26 23:44:58;0
2020-05-26 23:45:59;0
2020-05-26 23:46:59;0
2020-05-26 23:47:58;0
2020-05-26 23:48:59;0
2020-05-26 23:49:59;0
2020-05-26 23:50:58;0
2020-05-26 23:51:59;0
2020-05-26 23:52:59;0
2020-05-26 23:53:59;0
2020-05-26 23:54:58;0
2020-05-26 23:55:59;0
2020-05-26 23:56:59;0
2020-05-26 23:58:00;0
2020-05-26 23:58:58;0
2020-05-26 23:59:59;0
