datetime;total_votes;keyreal;axxl;masacra;jovan;kross;scaryfairy;Feyarozovaya;akuaku;RedHat;denkoshka
2020-05-27 00:00:59;0;0;0;0;0;1;0;0;0;0;0
2020-05-27 00:01:58;2;0;0;0;0;1;0;0;0;0;1
2020-05-27 00:02:59;2;0;0;0;0;1;0;0;0;0;1
2020-05-27 00:03:58;2;0;0;0;0;1;0;0;0;0;1
2020-05-27 00:04:59;3;0;0;0;0;2;0;0;0;0;1
2020-05-27 00:05:58;4;0;0;0;0;3;0;0;0;0;1
2020-05-27 00:06:59;4;0;0;0;0;3;0;0;0;0;1
2020-05-27 00:07:59;4;0;0;0;0;3;0;0;0;0;1
2020-05-27 00:08:59;5;0;0;0;0;4;0;0;0;0;1
2020-05-27 00:09:58;5;0;0;0;0;4;0;0;0;0;1
2020-05-27 00:10:59;5;0;0;0;0;4;0;0;0;0;1
2020-05-27 00:11:59;6;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:12:58;6;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:13:59;6;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:14:59;6;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:15:59;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:16:58;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:17:59;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:18:59;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:19:58;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:20:59;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:21:59;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:22:58;7;0;0;0;0;5;0;0;0;0;1
2020-05-27 00:23:59;8;0;1;0;0;5;0;0;0;0;1
2020-05-27 00:24:59;9;0;1;0;0;5;1;0;0;0;1
2020-05-27 00:25:58;10;0;2;0;0;5;1;0;0;0;1
2020-05-27 00:26:59;10;0;2;0;0;5;1;0;0;0;1
2020-05-27 00:27:59;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:28:59;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:29:58;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:30:59;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:31:59;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:32:58;12;0;3;0;0;5;1;0;0;0;1
2020-05-27 00:33:59;13;0;3;0;0;5;2;0;0;0;1
2020-05-27 00:34:59;13;0;3;0;0;5;2;0;0;0;1
2020-05-27 00:35:58;14;0;3;0;0;5;2;0;0;0;1
2020-05-27 00:36:59;15;0;3;0;1;5;2;0;0;0;1
2020-05-27 00:37:59;15;0;3;0;1;5;2;0;0;0;1
2020-05-27 00:38:59;15;0;3;0;1;5;2;0;0;0;1
2020-05-27 00:39:58;15;0;3;0;1;5;2;0;0;0;1
2020-05-27 00:40:59;16;0;3;0;1;5;2;1;0;0;1
2020-05-27 00:41:59;16;0;3;0;1;5;2;1;0;0;1
2020-05-27 00:42:58;16;0;3;0;1;5;2;1;0;0;1
2020-05-27 00:43:59;16;0;3;0;1;5;2;1;0;0;1
2020-05-27 00:44:59;17;0;3;1;1;5;2;1;0;0;1
2020-05-27 00:45:58;17;0;3;1;1;5;2;1;0;0;1
2020-05-27 00:46:59;17;0;3;1;1;5;2;1;0;0;1
2020-05-27 00:47:59;19;0;5;1;1;5;2;1;0;0;1
2020-05-27 00:49:00;19;0;5;1;1;5;2;1;0;0;1
2020-05-27 00:49:58;19;0;5;1;1;5;2;1;0;0;1
2020-05-27 00:50:59;19;0;5;1;1;5;2;1;0;0;1
2020-05-27 00:51:58;19;0;5;1;1;5;2;1;0;0;1
2020-05-27 00:52:59;20;0;5;2;1;5;2;1;0;0;1
2020-05-27 00:53:59;21;0;5;2;1;5;2;1;0;0;1
2020-05-27 00:55:00;22;0;6;2;1;5;2;1;0;0;1
2020-05-27 00:55:58;22;0;6;2;1;5;2;1;0;0;1
