datetime;total_votes;redslot;phoenyxxx;navalny;Plancus;FRANNI;jakesnake;Terkin;LumberJack;bf6;isen
2020-06-03 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-03 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-03 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2020-06-03 00:03:59;2;1;1;0;0;0;0;0;0;0;0
2020-06-03 00:04:58;3;1;1;0;1;0;0;0;0;0;0
2020-06-03 00:05:59;6;1;2;0;1;0;0;0;0;1;0
2020-06-03 00:06:58;6;1;2;0;1;0;0;0;0;1;0
2020-06-03 00:07:59;8;1;3;0;1;0;0;0;1;1;0
2020-06-03 00:08:59;9;2;3;0;1;0;0;0;1;1;0
2020-06-03 00:09:58;10;2;4;0;1;0;0;0;1;1;0
2020-06-03 00:10:59;11;2;4;0;1;0;0;0;1;1;0
2020-06-03 00:11:58;12;2;5;0;1;0;0;0;1;1;0
2020-06-03 00:12:59;13;2;5;0;1;0;0;0;1;1;0
2020-06-03 00:13:58;14;2;6;0;1;0;0;0;1;1;0
2020-06-03 00:14:59;15;2;6;0;1;0;0;0;1;1;1
2020-06-03 00:15:58;16;2;7;0;1;0;0;0;1;1;1
2020-06-03 00:17:00;16;2;7;0;1;0;0;0;1;1;0
2020-06-03 00:17:58;17;2;8;0;1;0;0;0;1;1;0
2020-06-03 00:18:59;18;2;8;0;1;0;0;0;1;1;0
2020-06-03 00:19:59;19;2;9;0;1;0;0;0;1;1;0
2020-06-03 00:20:58;20;2;9;0;1;0;0;0;1;1;0
2020-06-03 00:21:59;23;2;10;0;2;0;0;0;1;1;0
2020-06-03 00:22:58;24;3;10;0;2;0;0;0;1;1;0
2020-06-03 00:23:59;26;4;11;0;2;0;0;0;1;1;0
2020-06-03 00:24:58;27;4;11;0;2;0;0;0;2;1;0
2020-06-03 00:25:59;28;4;11;0;2;0;0;0;2;1;1
2020-06-03 00:26:59;28;4;11;0;2;0;0;0;2;1;1
2020-06-03 00:27:58;29;4;11;0;2;0;0;0;2;0;0
2020-06-03 00:28:59;30;4;11;0;2;0;0;0;2;1;0
2020-06-03 00:29:59;31;4;11;0;2;0;0;0;2;0;0
2020-06-03 00:30:58;32;4;11;0;2;0;0;0;2;0;2
2020-06-03 00:32:00;33;4;11;0;2;0;0;0;2;1;2
2020-06-03 00:32:58;34;4;11;0;2;0;0;0;2;1;2
2020-06-03 00:34:00;34;4;11;0;2;0;0;0;2;1;2
2020-06-03 00:34:58;36;5;11;0;2;0;0;0;2;0;2
2020-06-03 00:35:59;36;5;11;0;2;0;0;0;2;0;2
2020-06-03 00:36:58;38;6;12;0;2;0;0;0;2;0;2
2020-06-03 00:37:59;39;7;12;0;2;0;0;0;2;0;2
2020-06-03 00:38:59;39;7;12;0;2;0;0;0;2;0;2
2020-06-03 00:39:58;40;8;12;0;2;0;0;0;2;0;2
2020-06-03 00:40:59;40;8;12;0;2;0;0;0;2;0;2
2020-06-03 00:41:58;40;8;12;0;2;0;0;0;2;0;2
2020-06-03 00:42:59;40;8;12;0;2;0;0;0;2;0;2
2020-06-03 00:43:58;41;9;12;0;2;0;0;0;2;0;2
2020-06-03 00:44:59;41;9;12;0;2;0;0;0;2;0;2
2020-06-03 00:45:58;40;9;12;0;2;0;0;0;2;0;2
2020-06-03 00:46:59;41;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:47:58;41;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:48:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:49:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:50:58;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:52:00;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:52:58;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:53:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:54:58;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:55:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:56:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:57:58;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:58:59;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 00:59:58;42;10;12;0;2;0;0;0;2;0;2
2020-06-03 01:01:00;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:01:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:02:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:03:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:04:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:05:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:06:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:07:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:08:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:09:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:10:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:11:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:12:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:13:58;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:14:59;43;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:15:59;44;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:16:58;44;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:17:59;44;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:18:58;44;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:19:59;44;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:20:59;45;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:21:58;45;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:22:59;45;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:23:58;45;10;12;0;2;2;0;0;2;0;2
2020-06-03 01:24:59;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:25:58;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:26:59;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:27:59;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:28:58;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:29:59;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:30:58;46;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:31:59;47;11;12;0;2;2;0;0;2;0;2
2020-06-03 01:32:59;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:33:58;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:35:00;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:35:58;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:36:59;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:37:59;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:38:58;48;11;13;0;2;2;0;0;2;0;2
2020-06-03 01:39:59;49;11;13;0;2;3;0;0;2;0;2
2020-06-03 01:40:58;49;11;13;0;2;3;0;0;2;0;2
2020-06-03 01:41:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:42:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:43:58;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:44:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:45:58;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:46:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:47:58;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:48:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:49:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:50:58;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:51:59;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:52:58;51;12;13;0;2;4;0;0;2;0;2
2020-06-03 01:53:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:54:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:55:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:56:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:57:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:58:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 01:59:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:00:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:01:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:02:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:03:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:04:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:05:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:06:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:07:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:08:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:09:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:10:59;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:11:58;52;12;13;0;2;5;0;0;2;0;2
2020-06-03 02:12:59;54;12;14;0;3;5;0;0;2;0;2
2020-06-03 02:13:59;55;12;14;0;3;6;0;0;2;0;2
2020-06-03 02:14:58;56;13;14;0;3;6;0;0;2;0;2
2020-06-03 02:15:59;56;13;14;0;3;6;0;0;2;0;2
2020-06-03 02:16:58;56;13;14;0;3;6;0;0;2;0;2
2020-06-03 02:17:59;58;13;15;0;4;6;0;0;2;0;2
2020-06-03 02:18:59;58;13;15;0;4;6;0;0;2;0;2
2020-06-03 02:19:58;59;14;15;0;4;6;0;0;2;0;2
2020-06-03 02:20:59;59;14;15;0;4;6;0;0;2;0;2
2020-06-03 02:21:58;59;14;15;0;4;6;0;0;2;0;2
2020-06-03 02:22:59;60;15;15;0;4;6;0;0;2;0;2
2020-06-03 02:23:59;60;15;15;0;4;6;0;0;2;0;2
2020-06-03 02:24:58;61;15;15;0;4;6;0;0;2;2;2
2020-06-03 02:26:00;62;15;15;0;5;6;0;0;2;2;2
2020-06-03 02:26:58;63;16;15;0;5;6;0;0;2;2;2
2020-06-03 02:27:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:28:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:29:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:30:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:31:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:32:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:33:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:34:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:35:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:36:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:37:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:38:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:39:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:40:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:41:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:42:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:43:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:44:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:45:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:46:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:47:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:48:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:49:59;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:50:58;64;17;15;0;5;6;0;0;2;2;2
2020-06-03 02:51:59;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:52:58;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:53:59;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:54:59;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:55:58;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:56:59;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:57:58;65;17;16;0;5;6;0;0;2;2;2
2020-06-03 02:58:59;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 02:59:59;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 03:00:58;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 03:01:59;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 03:02:58;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 03:03:59;66;17;16;0;5;6;0;0;3;2;2
2020-06-03 03:04:58;67;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:05:59;67;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:06:59;67;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:07:58;67;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:08:59;67;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:09:58;68;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:10:59;68;18;16;0;5;6;0;0;3;2;2
2020-06-03 03:11:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:12:58;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:13:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:14:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:15:58;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:16:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:17:58;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:18:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:19:59;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:20:58;69;18;17;0;5;6;0;0;3;2;2
2020-06-03 03:21:59;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:22:58;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:23:59;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:24:59;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:25:58;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:26:59;70;18;18;0;5;6;0;0;3;2;2
2020-06-03 03:27:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:28:58;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:29:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:30:58;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:31:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:32:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:33:58;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:34:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:35:59;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:36:58;71;18;18;0;5;7;0;0;3;2;2
2020-06-03 03:37:59;72;18;18;0;6;7;0;0;3;2;2
2020-06-03 03:38:58;72;18;18;0;6;7;0;0;3;2;2
2020-06-03 03:39:59;72;18;18;0;6;7;0;0;3;2;2
2020-06-03 03:40:58;72;18;18;0;6;7;0;0;3;2;2
2020-06-03 03:41:59;72;18;18;0;6;7;0;0;3;2;2
