datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-10 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-10 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2020-06-10 00:03:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-10 00:04:58;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:05:59;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:06:58;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:07:59;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:08:58;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:10:00;2;0;1;0;0;0;0;0;0;0;0
2020-06-10 00:10:58;4;0;2;0;0;0;0;0;0;0;0
2020-06-10 00:11:59;5;1;2;0;0;0;0;0;0;0;0
2020-06-10 00:12:59;5;1;2;0;0;0;0;0;0;0;0
2020-06-10 00:13:58;5;1;2;0;0;0;0;0;0;0;0
2020-06-10 00:14:59;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:15:58;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:16:59;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:17:59;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:18:58;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:19:59;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:20:59;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:21:58;6;1;2;0;0;0;0;0;0;1;0
2020-06-10 00:22:59;8;2;2;0;0;0;0;0;0;1;0
2020-06-10 00:23:58;8;2;2;0;0;0;0;0;0;1;0
2020-06-10 00:24:59;9;3;2;0;0;0;0;0;0;1;0
2020-06-10 00:25:58;9;3;2;0;0;0;0;0;0;1;0
2020-06-10 00:26:59;9;3;2;0;0;0;0;0;0;1;0
2020-06-10 00:27:59;9;3;2;0;0;0;0;0;0;1;0
2020-06-10 00:28:58;9;3;2;0;0;0;0;0;0;1;0
2020-06-10 00:29:59;10;3;3;0;0;0;0;0;0;1;0
2020-06-10 00:30:58;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:31:59;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:32:58;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:33:59;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:34:59;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:35:58;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:36:59;12;3;5;0;0;0;0;0;0;1;0
2020-06-10 00:37:58;13;4;5;0;0;0;0;0;0;1;0
2020-06-10 00:39:00;13;4;5;0;0;0;0;0;0;1;0
2020-06-10 00:39:58;14;5;5;0;0;0;0;0;0;1;0
2020-06-10 00:40:59;14;5;5;0;0;0;0;0;0;1;0
2020-06-10 00:41:59;14;6;5;0;0;0;0;0;0;1;0
2020-06-10 00:42:58;14;6;5;0;0;0;0;0;0;1;0
2020-06-10 00:43:59;14;6;5;0;0;0;0;0;0;1;0
2020-06-10 00:44:58;14;6;5;0;0;0;0;0;0;1;0
2020-06-10 00:45:59;16;7;5;0;0;0;0;0;0;1;0
2020-06-10 00:46:58;16;7;5;0;0;0;0;0;0;1;0
2020-06-10 00:47:59;17;7;5;1;0;0;0;0;0;1;0
2020-06-10 00:48:58;17;7;5;1;0;0;0;0;0;1;0
2020-06-10 00:49:59;17;7;5;1;0;0;0;0;0;1;0
2020-06-10 00:50:59;17;7;5;1;0;0;0;0;0;1;0
2020-06-10 00:51:58;17;7;5;1;0;0;0;0;0;1;0
2020-06-10 00:52:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:53:58;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:54:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:55:58;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:56:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:57:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:58:58;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 00:59:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 01:00:58;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 01:01:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 01:02:59;18;8;5;1;0;0;0;0;0;1;0
2020-06-10 01:03:58;19;8;6;1;0;0;0;0;0;1;0
2020-06-10 01:04:59;20;8;6;2;0;0;0;0;0;1;0
2020-06-10 01:05:58;20;8;6;2;0;0;0;0;0;1;0
2020-06-10 01:06:59;21;8;7;2;0;0;0;0;0;1;0
2020-06-10 01:07:58;22;8;8;2;0;0;0;0;0;1;0
2020-06-10 01:08:59;22;8;8;2;0;0;0;0;0;1;0
2020-06-10 01:09:58;22;8;8;2;0;0;0;0;0;1;0
2020-06-10 01:10:59;22;8;8;2;0;0;0;0;0;1;0
2020-06-10 01:11:58;22;8;8;2;0;0;0;0;0;1;0
2020-06-10 01:13:00;23;8;8;2;0;0;0;1;0;1;0
2020-06-10 01:13:58;23;8;8;2;0;0;0;1;0;1;0
2020-06-10 01:14:59;23;8;8;2;0;0;0;1;0;1;0
2020-06-10 01:15:58;23;8;8;2;0;0;0;1;0;1;0
2020-06-10 01:16:59;24;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:17:58;24;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:18:59;24;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:19:59;25;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:20:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:21:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:22:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:23:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:24:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:25:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:26:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:27:58;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:28:59;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:29:58;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:30:59;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:31:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:32:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:33:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:34:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:35:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:36:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:37:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:38:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:39:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:40:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:41:58;28;9;8;3;0;0;0;1;0;2;0
