datetime;total_votes;telegraf;LumberJack;navalny;slavik831;Zippymax;Есения;shamanka;KOCTOPE3;FRANNI;krysa
2020-06-17 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-17 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-06-17 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2020-06-17 00:03:59;4;0;1;0;0;1;0;0;0;0;0
2020-06-17 00:04:58;5;0;1;0;0;1;0;0;0;0;0
2020-06-17 00:05:59;8;0;1;0;1;1;0;0;0;0;0
2020-06-17 00:06:59;9;0;1;0;1;1;0;0;0;0;0
2020-06-17 00:07:58;10;0;1;0;1;1;0;0;0;0;0
2020-06-17 00:08:59;12;0;1;0;1;2;0;0;0;0;1
2020-06-17 00:09:58;12;0;1;0;1;2;0;0;0;0;1
2020-06-17 00:10:59;15;1;2;0;0;2;0;0;0;0;2
2020-06-17 00:11:59;15;1;2;0;0;2;0;0;0;0;2
2020-06-17 00:12:58;15;1;2;0;0;2;0;0;0;0;2
2020-06-17 00:13:59;15;1;2;0;0;2;0;0;0;0;2
2020-06-17 00:14:59;17;1;2;0;1;2;0;0;0;0;2
2020-06-17 00:15:58;20;2;2;0;2;3;0;0;1;0;2
2020-06-17 00:16:59;20;2;2;0;2;3;0;0;1;0;2
2020-06-17 00:17:59;22;3;2;1;2;3;0;0;0;0;2
2020-06-17 00:18:58;23;4;2;1;2;3;0;0;0;0;2
2020-06-17 00:19:59;24;4;2;1;2;3;0;0;0;0;2
2020-06-17 00:20:59;24;4;2;1;2;3;0;0;0;0;2
2020-06-17 00:21:58;24;4;2;1;2;3;0;0;0;0;2
2020-06-17 00:22:59;24;4;2;1;2;3;0;0;0;0;2
2020-06-17 00:23:58;25;4;2;1;3;3;0;0;1;0;2
2020-06-17 00:24:59;26;4;2;1;3;3;0;0;2;0;2
2020-06-17 00:25:59;26;4;2;1;3;3;0;0;2;0;2
2020-06-17 00:26:58;26;4;2;1;3;3;0;0;2;0;2
2020-06-17 00:27:59;26;4;2;1;3;3;0;0;2;0;2
2020-06-17 00:28:58;27;4;2;0;3;3;0;0;2;0;2
2020-06-17 00:29:59;27;4;2;0;3;3;0;0;2;0;2
2020-06-17 00:30:58;30;4;5;0;3;3;0;0;2;0;2
2020-06-17 00:31:59;32;4;6;0;3;3;0;0;2;0;2
2020-06-17 00:32:59;36;7;6;0;3;3;1;0;2;0;2
2020-06-17 00:33:58;36;7;6;0;3;3;1;0;2;0;2
2020-06-17 00:34:59;36;7;6;0;3;3;1;0;2;0;2
2020-06-17 00:35:59;36;7;6;0;3;3;1;0;2;0;2
2020-06-17 00:36:58;37;8;6;0;3;3;1;0;2;0;2
2020-06-17 00:37:59;37;8;6;0;3;3;1;0;2;0;2
2020-06-17 00:38:58;37;8;6;0;3;3;1;0;2;0;2
2020-06-17 00:40:00;37;8;6;0;3;3;1;0;2;0;2
2020-06-17 00:40:58;38;8;6;0;3;3;2;0;2;0;2
2020-06-17 00:41:59;38;8;6;0;3;3;2;0;2;0;2
2020-06-17 00:42:59;38;8;6;0;3;3;2;0;2;0;2
2020-06-17 00:43:58;38;8;6;0;3;3;2;0;2;0;2
2020-06-17 00:44:59;39;9;6;0;3;3;2;0;2;0;2
2020-06-17 00:45:58;40;10;6;0;3;3;2;0;2;0;2
2020-06-17 00:46:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:47:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:48:58;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:49:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:50:58;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:51:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:52:58;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:53:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:54:58;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:55:59;41;10;6;0;4;3;2;0;2;0;2
2020-06-17 00:56:59;42;10;7;0;4;3;2;0;2;0;2
2020-06-17 00:57:58;42;10;7;0;4;3;2;0;2;0;2
2020-06-17 00:58:59;42;10;7;0;4;3;2;0;2;0;2
2020-06-17 00:59:59;42;10;7;0;4;3;2;0;2;0;2
2020-06-17 01:00:58;43;10;7;0;5;3;2;0;2;0;2
2020-06-17 01:01:59;44;10;7;0;6;3;2;0;2;0;2
2020-06-17 01:02:58;45;10;7;0;7;3;2;0;2;0;2
2020-06-17 01:03:59;46;10;7;0;8;3;2;0;2;0;2
2020-06-17 01:04:58;47;10;7;0;9;3;2;0;2;0;2
2020-06-17 01:05:59;47;10;7;0;9;3;2;0;2;0;2
2020-06-17 01:07:00;47;10;7;0;9;3;2;0;2;0;2
2020-06-17 01:07:58;47;10;7;0;9;3;2;0;2;0;2
2020-06-17 01:08:59;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:09:59;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:10:58;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:11:59;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:12:58;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:13:59;47;10;6;0;10;3;2;0;2;0;2
2020-06-17 01:14:58;48;10;7;0;10;3;2;0;2;0;2
2020-06-17 01:15:59;48;10;7;0;10;3;2;0;2;0;2
2020-06-17 01:16:58;48;10;7;0;10;3;2;0;2;0;2
2020-06-17 01:17:59;49;10;7;0;10;4;2;0;2;0;2
2020-06-17 01:18:58;49;10;7;0;10;4;2;0;2;0;2
2020-06-17 01:19:59;51;11;7;0;10;4;2;0;2;0;2
2020-06-17 01:20:59;51;11;7;0;10;4;2;0;2;0;2
2020-06-17 01:21:58;52;11;7;0;10;4;3;0;2;0;2
2020-06-17 01:22:59;52;11;7;0;10;4;3;0;2;0;2
2020-06-17 01:23:59;52;11;7;0;10;4;3;0;2;0;2
2020-06-17 01:24:58;52;11;7;0;10;4;3;0;2;0;2
2020-06-17 01:25:59;53;12;7;0;10;4;3;0;2;0;2
2020-06-17 01:26:58;53;12;7;0;10;4;3;0;2;0;2
2020-06-17 01:27:59;53;12;7;0;10;4;3;0;2;0;2
2020-06-17 01:28:58;53;12;7;0;10;4;3;0;2;0;2
2020-06-17 01:29:59;53;12;7;0;10;4;3;0;2;0;2
2020-06-17 01:30:58;54;12;8;0;10;4;3;0;2;0;2
2020-06-17 01:31:59;54;12;8;0;10;4;3;0;2;0;2
2020-06-17 01:32:58;54;12;8;0;10;4;3;0;2;0;2
2020-06-17 01:33:59;56;12;9;1;10;4;3;0;2;0;2
