datetime;total_votes;shamanka;Zippymax;slavik831;quick_justice;navalny;jovan;LumberJack;Volodya_FM;megaslowpoke;yogrin
2020-06-24 00:00:59;2;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:01:59;3;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:02:58;3;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:03:59;4;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:04:58;4;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:05:59;5;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:06:58;7;0;0;0;2;0;0;0;0;0;0
2020-06-24 00:07:59;8;0;0;0;3;0;0;0;0;0;0
2020-06-24 00:08:59;10;0;0;0;3;0;0;1;0;0;1
2020-06-24 00:09:58;11;1;0;0;3;0;0;1;0;0;1
2020-06-24 00:11:00;11;1;0;0;3;0;0;1;0;0;1
2020-06-24 00:11:58;11;1;0;0;3;0;0;1;0;0;1
2020-06-24 00:12:59;11;1;0;0;3;0;0;1;0;0;1
2020-06-24 00:13:59;13;2;0;0;3;0;0;2;0;0;1
2020-06-24 00:14:58;14;2;1;0;3;0;0;2;0;0;1
2020-06-24 00:15:59;14;2;1;0;3;0;0;2;0;0;1
2020-06-24 00:16:59;14;2;1;0;3;0;0;2;0;0;1
2020-06-24 00:17:58;14;2;1;0;3;0;0;2;0;0;1
2020-06-24 00:18:59;14;2;1;0;3;0;0;2;0;0;1
2020-06-24 00:19:58;15;2;1;0;3;0;0;3;0;0;1
2020-06-24 00:20:59;16;3;1;0;3;0;0;3;0;0;1
2020-06-24 00:21:59;16;3;1;0;3;0;0;3;0;0;1
2020-06-24 00:22:58;18;3;1;0;5;0;0;3;0;0;1
2020-06-24 00:23:59;18;3;1;0;5;0;0;3;0;0;1
2020-06-24 00:24:59;21;3;1;0;6;1;0;4;0;0;1
2020-06-24 00:25:58;23;3;1;0;6;2;0;5;0;0;1
2020-06-24 00:26:59;23;3;1;0;5;2;0;5;0;0;1
2020-06-24 00:27:59;23;3;1;0;5;2;0;5;0;0;1
2020-06-24 00:28:58;24;3;1;0;6;2;0;5;0;0;1
2020-06-24 00:29:59;24;3;1;0;6;2;0;5;0;0;1
2020-06-24 00:30:59;26;3;1;0;6;2;0;5;0;1;2
2020-06-24 00:31:59;26;3;1;0;6;2;0;5;0;1;2
2020-06-24 00:32:59;27;3;2;0;6;2;0;5;0;0;2
2020-06-24 00:33:58;28;3;2;0;6;2;0;5;0;1;2
2020-06-24 00:34:59;28;3;2;0;6;2;0;5;0;1;2
2020-06-24 00:35:59;28;3;2;0;6;2;0;5;0;1;2
2020-06-24 00:36:59;30;3;3;0;6;2;0;6;0;1;2
2020-06-24 00:37:58;31;3;3;0;7;2;0;6;0;1;2
2020-06-24 00:38:59;31;3;3;0;7;2;0;6;0;1;2
2020-06-24 00:39:58;32;3;3;0;8;2;0;6;0;1;2
2020-06-24 00:40:59;33;3;3;0;8;2;0;6;0;1;2
2020-06-24 00:41:59;35;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:42:58;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:43:59;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:44:58;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:45:59;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:46:58;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:47:59;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:48:59;36;4;3;0;8;2;0;6;0;1;2
2020-06-24 00:49:58;37;4;3;0;9;2;0;6;0;1;2
2020-06-24 00:50:59;38;4;3;0;10;2;0;6;0;1;2
2020-06-24 00:51:58;39;4;3;0;10;3;0;6;0;1;2
2020-06-24 00:52:59;39;4;3;0;10;3;0;6;0;1;2
2020-06-24 00:53:59;39;4;3;0;10;3;0;6;0;1;2
2020-06-24 00:54:58;40;5;3;0;10;3;0;6;0;1;2
2020-06-24 00:55:59;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 00:56:59;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 00:57:58;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 00:58:59;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 00:59:58;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 01:00:59;41;6;3;0;10;3;0;6;0;1;2
2020-06-24 01:01:59;42;7;3;0;10;3;0;6;0;1;2
2020-06-24 01:02:58;41;7;3;0;10;3;1;6;0;1;2
2020-06-24 01:03:59;41;7;3;0;10;3;1;6;0;1;2
2020-06-24 01:04:59;41;7;3;0;10;3;1;6;0;1;2
2020-06-24 01:05:58;41;7;3;0;10;3;1;6;0;1;2
2020-06-24 01:06:59;43;7;3;0;11;3;1;7;0;1;2
2020-06-24 01:07:58;43;7;3;0;11;3;1;7;0;1;2
2020-06-24 01:08:59;44;7;3;0;11;3;1;7;0;2;2
2020-06-24 01:09:58;45;8;3;0;11;3;1;7;0;2;2
2020-06-24 01:10:59;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:11:59;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:12:58;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:13:59;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:14:59;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:15:58;46;8;5;0;10;3;1;7;0;2;2
2020-06-24 01:16:59;47;8;5;0;11;3;1;7;0;2;2
2020-06-24 01:17:59;49;8;6;0;11;3;2;7;0;2;2
2020-06-24 01:18:58;49;8;6;0;11;3;2;7;0;2;2
2020-06-24 01:19:59;49;8;6;0;11;3;2;7;0;2;2
2020-06-24 01:20:58;49;8;6;0;11;3;2;7;0;2;2
2020-06-24 01:21:59;50;8;6;0;12;3;2;7;0;2;2
2020-06-24 01:22:58;51;8;6;0;13;3;2;7;0;2;2
2020-06-24 01:23:59;52;8;7;0;13;3;2;7;0;2;2
2020-06-24 01:24:59;52;8;7;0;13;3;2;7;0;2;2
2020-06-24 01:25:58;52;8;7;0;13;3;2;7;0;2;2
2020-06-24 01:26:59;52;8;7;0;13;3;2;7;0;2;2
2020-06-24 01:27:58;52;8;7;0;13;3;2;7;0;2;2
2020-06-24 01:28:59;53;8;8;0;13;3;2;8;0;2;2
2020-06-24 01:29:59;53;8;8;0;13;3;2;8;0;2;2
2020-06-24 01:30:58;54;8;9;0;13;3;2;8;0;2;2
2020-06-24 01:32:00;54;8;9;0;13;3;2;8;0;2;2
2020-06-24 01:32:58;54;8;9;0;13;3;2;8;0;2;2
2020-06-24 01:33:59;54;8;9;0;13;3;2;8;0;2;2
2020-06-24 01:34:59;54;8;9;0;13;3;2;8;0;2;2
