datetime;total_votes;KT;Volodya_FM;quick_justice;pereehal;navalny;Terkin;KOCTOPE3;Hexadecachoron;bf6;Kolbasevich
2020-07-08 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-07-08 00:01:59;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:02:58;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:03:59;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:04:58;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:05:59;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:06:58;2;2;0;0;0;0;0;0;0;0;0
2020-07-08 00:07:59;5;3;1;0;0;0;0;0;0;0;0
2020-07-08 00:08:59;6;4;1;0;0;0;0;0;0;0;0
2020-07-08 00:09:58;6;4;1;0;0;0;0;0;0;0;0
2020-07-08 00:10:59;7;5;1;0;0;0;0;0;0;0;0
2020-07-08 00:11:58;8;5;2;0;0;0;0;0;0;0;0
2020-07-08 00:13:00;9;6;2;0;0;0;0;0;0;0;0
2020-07-08 00:13:58;9;6;2;0;0;0;0;0;0;0;0
2020-07-08 00:14:59;9;6;2;0;0;0;0;0;0;0;0
2020-07-08 00:15:59;10;6;2;0;0;0;0;0;1;0;0
2020-07-08 00:16:58;11;7;2;0;0;0;0;0;1;0;0
2020-07-08 00:17:59;11;7;2;0;0;0;0;0;1;0;0
2020-07-08 00:18:59;11;7;2;0;0;0;0;0;1;0;0
2020-07-08 00:19:58;11;7;2;0;0;0;0;0;1;0;0
2020-07-08 00:20:59;12;7;3;0;0;0;0;0;1;0;0
2020-07-08 00:21:58;12;7;3;0;0;0;0;0;1;0;0
2020-07-08 00:22:59;13;7;3;0;0;0;0;0;1;0;0
2020-07-08 00:23:58;14;7;3;0;1;0;0;0;1;0;0
2020-07-08 00:24:59;15;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:25:58;15;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:26:59;15;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:27:59;16;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:28:58;16;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:29:59;16;8;3;0;1;0;0;0;1;0;0
2020-07-08 00:30:58;17;8;3;1;1;0;0;0;1;0;0
2020-07-08 00:31:59;17;7;4;1;1;0;0;0;1;0;0
2020-07-08 00:32:59;17;7;4;1;1;0;0;0;1;0;0
2020-07-08 00:33:58;19;9;4;1;1;0;0;0;1;0;0
2020-07-08 00:34:59;19;9;4;1;1;0;0;0;1;0;0
2020-07-08 00:35:58;20;10;4;1;1;0;0;0;1;0;0
2020-07-08 00:37:00;21;11;4;1;1;0;0;0;1;0;0
2020-07-08 00:37:58;21;11;4;1;1;0;0;0;1;0;0
2020-07-08 00:38:59;21;11;4;1;1;0;0;0;1;0;0
2020-07-08 00:39:59;21;11;4;1;1;0;0;0;1;0;0
2020-07-08 00:40:58;22;12;4;1;1;0;0;0;1;0;0
2020-07-08 00:41:59;22;12;4;1;1;0;0;0;1;0;0
2020-07-08 00:42:58;22;12;4;1;1;0;0;0;1;0;0
2020-07-08 00:43:59;22;12;4;1;1;0;0;0;1;0;0
2020-07-08 00:44:59;24;12;5;1;1;0;0;0;1;0;0
2020-07-08 00:45:58;24;12;5;1;1;0;0;0;1;0;0
2020-07-08 00:46:59;25;13;5;1;1;0;0;0;1;0;0
2020-07-08 00:47:58;26;13;5;1;1;0;0;0;1;0;0
2020-07-08 00:48:59;26;13;5;1;1;0;0;0;1;0;0
2020-07-08 00:49:58;27;13;5;2;1;0;0;0;1;0;0
2020-07-08 00:50:59;28;13;5;3;1;0;0;0;1;0;0
2020-07-08 00:51:59;28;13;5;3;1;0;0;0;1;0;0
2020-07-08 00:52:58;28;13;5;3;1;0;0;0;1;0;0
2020-07-08 00:53:59;29;13;5;4;1;0;0;0;1;0;0
2020-07-08 00:54:58;29;13;5;4;1;0;0;0;1;0;0
2020-07-08 00:55:59;30;13;5;4;1;0;0;0;0;0;0
2020-07-08 00:56:59;30;13;5;4;1;0;0;0;0;0;0
2020-07-08 00:57:58;33;13;6;4;1;0;0;0;2;0;0
2020-07-08 00:58:59;34;13;6;4;2;0;0;1;2;0;0
2020-07-08 00:59:59;34;13;6;4;2;0;0;1;2;0;0
2020-07-08 01:00:58;34;13;6;4;2;0;0;1;2;0;0
2020-07-08 01:01:59;36;14;6;4;2;0;1;0;2;0;0
2020-07-08 01:02:58;37;15;6;4;2;0;1;0;2;0;0
2020-07-08 01:03:59;38;15;6;4;2;0;0;0;2;0;0
2020-07-08 01:04:58;38;15;6;4;2;0;0;0;2;0;0
2020-07-08 01:05:59;38;15;6;4;2;0;0;0;2;0;0
2020-07-08 01:06:59;38;15;7;4;2;0;0;0;2;0;0
2020-07-08 01:07:58;38;15;7;4;2;0;0;0;2;0;0
2020-07-08 01:08:59;41;16;8;5;2;0;0;0;2;0;0
2020-07-08 01:09:58;41;16;8;5;2;0;0;0;2;0;0
2020-07-08 01:10:59;41;16;8;5;2;0;0;0;2;0;0
2020-07-08 01:11:59;41;16;8;5;2;0;0;0;2;0;0
2020-07-08 01:12:58;42;17;8;5;2;0;0;0;2;0;0
2020-07-08 01:13:59;43;17;8;5;3;0;0;0;2;0;0
2020-07-08 01:14:58;43;17;8;5;3;0;0;0;2;0;0
2020-07-08 01:15:59;43;17;8;5;3;0;0;0;2;0;0
2020-07-08 01:16:59;43;17;8;5;3;0;0;0;2;0;0
2020-07-08 01:17:58;43;17;8;5;3;0;0;0;2;0;0
2020-07-08 01:18:59;44;17;9;5;3;0;0;0;2;0;0
2020-07-08 01:19:58;44;17;9;5;3;0;0;0;2;0;0
2020-07-08 01:20:59;45;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:21:58;45;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:22:59;45;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:23:59;46;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:24:58;46;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:25:59;46;18;9;5;3;0;0;0;2;0;0
2020-07-08 01:26:58;48;19;10;5;3;0;0;0;2;0;0
2020-07-08 01:27:59;48;19;10;5;3;0;0;0;2;0;0
2020-07-08 01:28:59;49;19;11;5;3;0;0;0;2;0;0
2020-07-08 01:29:58;49;19;11;5;3;0;0;0;2;0;0
2020-07-08 01:30:59;51;20;11;5;3;0;0;0;2;0;0
2020-07-08 01:31:58;54;21;11;7;3;0;0;0;2;0;0
2020-07-08 01:32:59;54;21;10;8;3;0;0;0;2;0;0
