datetime;total_votes;Volodya_FM;KT;Yardrey;navalny;axxl;kross;Der_Sturmer;gurt;kaiL;vjik
2020-07-15 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-07-15 00:01:59;2;1;0;1;0;0;0;0;0;0;0
2020-07-15 00:02:59;5;2;1;1;0;0;0;0;0;0;0
2020-07-15 00:03:58;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:04:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:05:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:06:58;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:07:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:08:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:09:58;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:10:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:11:58;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:12:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:13:58;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:14:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:15:59;6;3;1;1;0;0;0;0;0;0;0
2020-07-15 00:16:58;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:17:59;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:18:59;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:19:58;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:20:59;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:21:58;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:22:59;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:23:59;8;3;1;1;0;0;0;1;0;0;0
2020-07-15 00:24:58;9;4;1;1;0;0;0;1;0;0;0
2020-07-15 00:25:59;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:26:58;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:27:59;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:28:58;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:29:59;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:30:59;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:31:58;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:32:59;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:33:58;10;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:34:59;11;5;1;1;0;0;0;1;0;0;0
2020-07-15 00:35:58;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:37:00;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:37:58;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:39:00;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:39:58;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:40:59;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:41:59;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:42:58;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:43:59;13;5;2;1;0;0;0;1;1;0;0
2020-07-15 00:44:58;14;6;2;1;0;0;0;1;1;0;0
2020-07-15 00:45:59;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:46:58;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:47:59;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:48:58;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:49:59;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:50:59;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:51:58;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:52:59;15;6;3;2;0;0;0;1;1;0;0
2020-07-15 00:53:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:54:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:55:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:56:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:57:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:58:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 00:59:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:00:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:01:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:02:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:03:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:04:59;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:05:58;16;7;3;2;0;0;0;1;1;0;0
2020-07-15 01:06:59;17;8;3;2;0;0;0;1;1;0;0
2020-07-15 01:07:58;17;8;3;2;0;0;0;1;1;0;0
2020-07-15 01:08:59;18;8;3;2;0;0;1;1;1;0;0
2020-07-15 01:09:58;18;8;3;2;0;0;1;1;1;0;0
2020-07-15 01:10:59;18;8;3;2;0;0;1;1;1;0;0
2020-07-15 01:11:58;18;8;3;2;0;0;1;1;1;0;0
2020-07-15 01:12:59;18;8;3;2;0;0;1;1;1;0;0
2020-07-15 01:13:58;19;9;3;2;0;0;1;1;1;0;0
2020-07-15 01:15:00;21;9;4;2;0;0;2;1;1;0;0
2020-07-15 01:15:58;21;9;4;2;0;0;2;1;1;0;0
2020-07-15 01:16:59;21;9;4;2;0;0;2;1;1;0;0
2020-07-15 01:17:59;22;9;5;2;0;0;2;1;1;0;0
2020-07-15 01:18:58;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:19:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:20:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:21:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:22:58;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:23:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:24:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:25:58;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:26:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:27:58;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:28:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:29:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:30:58;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:31:59;23;10;5;2;0;0;2;1;1;0;0
2020-07-15 01:32:58;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:33:59;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:34:58;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:35:59;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:36:59;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:37:58;24;10;5;2;0;1;2;1;1;0;0
2020-07-15 01:38:59;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:39:58;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:40:59;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:41:58;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:42:59;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:43:58;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:44:59;25;10;6;2;0;1;2;1;1;0;0
2020-07-15 01:45:58;26;10;6;2;0;1;2;1;2;0;0
2020-07-15 01:46:59;26;10;6;2;0;1;2;1;2;0;0
2020-07-15 01:47:58;27;11;6;2;0;1;2;1;2;0;0
2020-07-15 01:48:59;27;11;6;2;0;1;2;1;2;0;0
2020-07-15 01:49:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:50:58;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:51:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:52:58;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:53:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:54:58;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:55:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:56:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:57:58;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:58:59;28;11;6;2;1;1;2;1;2;0;0
2020-07-15 01:59:59;29;11;6;2;1;1;2;2;2;0;0
2020-07-15 02:00:58;29;11;6;2;1;1;2;2;2;0;0
2020-07-15 02:01:59;30;11;6;2;2;1;2;2;2;0;0
2020-07-15 02:02:59;30;11;6;2;2;1;2;2;2;0;0
2020-07-15 02:03:58;30;11;6;2;2;1;2;2;2;0;0
2020-07-15 02:04:59;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:05:58;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:06:59;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:07:58;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:08:59;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:09:58;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:10:59;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:11:58;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:12:59;31;11;6;2;3;1;2;2;2;0;0
2020-07-15 02:13:59;32;11;7;2;3;1;2;2;2;0;0
2020-07-15 02:14:58;32;11;7;2;3;1;2;2;2;0;0
2020-07-15 02:15:59;33;11;8;2;3;1;2;2;2;0;0
2020-07-15 02:16:58;33;11;8;2;3;1;2;2;2;0;0
2020-07-15 02:17:59;34;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:18:58;34;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:19:59;34;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:20:59;34;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:21:58;34;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:22:59;35;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:23:58;35;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:24:59;35;12;8;2;3;1;2;2;2;0;0
2020-07-15 02:25:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:26:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:27:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:28:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:29:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:30:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:31:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:32:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:33:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:34:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:35:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:36:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:37:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:38:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:39:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:40:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:41:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:42:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:43:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:44:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:45:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:46:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:47:58;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:48:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:49:59;36;13;8;2;3;1;2;2;2;0;0
2020-07-15 02:50:58;37;13;9;2;3;1;2;2;2;0;0
2020-07-15 02:51:59;38;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:52:58;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:53:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:54:58;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:55:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:56:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:57:58;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:58:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 02:59:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 03:00:58;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 03:01:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 03:02:58;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 03:03:59;39;14;9;2;3;1;2;2;2;0;0
2020-07-15 03:04:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:05:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:06:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:07:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:08:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:09:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:10:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:11:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:12:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:13:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:14:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:15:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:16:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:17:58;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:18:59;40;15;9;2;3;1;2;2;2;0;0
2020-07-15 03:19:58;41;15;10;2;3;1;2;2;2;0;0
2020-07-15 03:21:00;41;15;10;2;3;1;2;2;2;0;0
2020-07-15 03:21:58;41;15;10;2;3;1;2;2;2;0;0
2020-07-15 03:22:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:23:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:24:58;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:25:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:26:58;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:27:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:28:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:29:58;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:30:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:31:58;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:32:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:33:59;42;15;11;2;3;1;2;2;2;0;0
2020-07-15 03:34:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:35:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:36:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:37:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:38:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:39:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:40:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:41:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:42:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:43:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:44:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:45:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:46:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:47:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:48:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:49:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:50:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:51:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:52:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:53:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:54:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:55:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:56:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:57:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:58:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 03:59:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:00:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:01:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:02:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:03:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:04:58;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:05:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:06:59;43;15;12;2;3;1;2;2;2;0;0
2020-07-15 04:07:58;44;15;13;2;3;1;2;2;2;0;0
2020-07-15 04:08:59;44;15;13;2;3;1;2;2;2;0;0
2020-07-15 04:09:59;44;15;13;2;3;1;2;2;2;0;0
2020-07-15 04:10:58;44;15;13;2;3;1;2;2;2;0;0
2020-07-15 04:11:59;45;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:12:59;45;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:13:58;45;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:14:59;45;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:15:58;45;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:16:59;46;16;13;2;3;1;2;2;2;0;0
2020-07-15 04:17:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:18:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:19:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:20:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:21:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:23:00;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:23:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:24:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:25:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:26:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:27:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:28:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:29:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:30:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:31:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:32:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:33:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:34:59;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:35:58;47;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:36:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:37:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:38:58;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:39:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:40:58;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:41:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:42:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:43:58;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:44:59;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:45:58;48;16;14;2;3;1;2;2;2;0;0
2020-07-15 04:46:59;48;16;14;2;3;1;2;2;2;0;0
