datetime;total_votes;Tae4ka;Kolbasevich;southparallel;pavelomg;XASSA;navalny;Есения;BlackIrony;kross;Hexadecachoron
2020-07-22 00:00:59;2;0;0;0;0;0;0;0;0;1;0
2020-07-22 00:01:58;2;0;0;0;0;0;0;0;0;1;0
2020-07-22 00:02:59;2;0;0;0;0;0;0;0;0;1;0
2020-07-22 00:03:58;4;0;1;0;0;0;0;0;0;1;0
2020-07-22 00:04:58;4;0;1;0;0;0;0;0;0;1;0
2020-07-22 00:05:59;6;1;1;0;0;0;0;0;0;1;0
2020-07-22 00:06:59;6;1;1;0;0;0;0;0;0;1;0
2020-07-22 00:07:59;7;1;1;0;0;0;0;0;0;1;1
2020-07-22 00:08:58;8;1;1;0;0;0;0;0;0;1;1
2020-07-22 00:09:59;8;1;1;0;0;0;0;0;0;1;1
2020-07-22 00:10:58;8;1;1;0;0;0;0;0;0;1;1
2020-07-22 00:12:00;10;2;1;0;0;0;0;0;0;1;1
2020-07-22 00:12:58;11;2;2;0;0;0;0;0;0;1;1
2020-07-22 00:13:59;11;2;2;0;0;0;0;0;0;1;1
2020-07-22 00:14:58;11;2;2;0;0;0;0;0;0;1;1
2020-07-22 00:16:00;11;2;2;0;0;0;0;0;0;1;1
2020-07-22 00:16:58;11;2;2;0;0;0;0;0;0;1;1
2020-07-22 00:17:59;13;2;3;0;0;0;0;0;0;1;1
2020-07-22 00:18:58;13;2;3;0;0;0;0;0;0;1;1
2020-07-22 00:19:59;14;2;3;0;0;0;0;0;0;1;1
2020-07-22 00:20:58;15;2;3;0;0;0;0;0;0;1;1
2020-07-22 00:21:59;16;2;4;0;0;0;0;0;0;1;1
2020-07-22 00:22:59;16;2;4;0;0;0;0;0;0;1;1
2020-07-22 00:23:58;17;3;4;0;0;0;0;0;0;1;1
2020-07-22 00:24:59;17;3;4;0;0;0;0;0;0;1;1
2020-07-22 00:25:58;18;4;4;0;0;0;0;0;0;1;1
2020-07-22 00:26:59;18;4;4;0;0;0;0;0;0;1;1
2020-07-22 00:27:58;19;4;5;0;0;0;0;0;0;1;1
2020-07-22 00:28:59;19;4;5;0;0;0;0;0;0;1;1
2020-07-22 00:29:58;19;4;5;0;0;0;0;0;0;1;1
2020-07-22 00:30:59;20;4;5;1;0;0;0;0;0;1;1
2020-07-22 00:31:59;20;4;5;1;0;0;0;0;0;1;1
2020-07-22 00:32:58;20;4;5;1;0;0;0;0;0;1;1
2020-07-22 00:33:59;21;4;6;1;0;0;0;0;0;1;1
2020-07-22 00:34:58;21;4;6;1;0;0;0;0;0;1;1
2020-07-22 00:35:59;21;4;6;1;0;0;0;0;0;1;1
2020-07-22 00:36:59;22;4;7;1;0;0;0;0;0;1;1
2020-07-22 00:37:58;22;4;7;1;0;0;0;0;0;1;1
2020-07-22 00:38:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:39:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:40:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:41:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:42:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:43:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:44:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:45:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:46:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:47:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:48:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:49:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:50:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:51:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:52:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:53:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:54:58;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:55:59;22;4;8;1;0;0;0;0;0;1;1
2020-07-22 00:56:58;24;5;8;1;0;0;0;1;0;1;1
2020-07-22 00:57:59;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 00:58:58;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 00:59:59;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 01:00:58;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 01:01:59;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 01:02:59;25;5;9;1;0;0;0;1;0;1;1
2020-07-22 01:03:58;27;5;9;0;0;1;0;1;0;2;1
2020-07-22 01:04:59;27;5;9;0;0;1;0;1;0;2;1
2020-07-22 01:05:58;28;5;10;0;0;1;0;1;0;2;1
2020-07-22 01:07:00;28;5;10;0;0;1;0;1;0;2;1
2020-07-22 01:07:58;28;5;10;0;0;1;0;1;0;2;1
2020-07-22 01:08:59;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:09:59;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:10:58;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:11:59;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:12:58;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:13:59;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:14:59;29;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:15:58;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:16:59;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:17:58;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:18:59;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:19:58;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:20:59;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:21:59;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:22:58;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:24:00;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:24:58;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:25:59;30;5;10;2;0;1;0;1;0;2;0
2020-07-22 01:26:59;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:27:58;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:28:59;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:29:59;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:30:58;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:31:59;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:32:58;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:33:59;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:34:58;31;5;11;2;0;1;0;1;0;2;0
2020-07-22 01:35:59;32;5;12;2;0;1;0;1;0;2;0
2020-07-22 01:36:59;32;5;12;2;0;1;0;1;0;2;0
2020-07-22 01:37:58;32;5;12;2;0;1;0;1;0;2;0
2020-07-22 01:38:59;32;5;12;2;0;1;0;1;0;2;0
2020-07-22 01:39:58;32;5;12;2;0;1;0;1;0;2;0
2020-07-22 01:40:59;33;5;12;2;0;1;0;2;0;2;0
2020-07-22 01:41:59;33;5;12;2;0;1;0;2;0;2;0
