datetime;total_votes;kross;ruweb;cofee;Kolbasevich;navalny;KOCTOPE3;romanvzromanvz;mrvg;quick_justice;Mindsplitter
2020-07-29 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-07-29 00:01:59;0;1;0;0;0;0;0;0;0;0;0
2020-07-29 00:02:58;0;1;0;0;0;0;0;0;0;0;0
2020-07-29 00:03:59;0;1;0;0;0;0;0;0;0;0;0
2020-07-29 00:04:58;0;1;0;0;0;0;0;0;0;0;0
2020-07-29 00:05:59;0;1;0;0;0;0;0;0;0;0;0
2020-07-29 00:06:59;3;1;1;0;0;0;0;0;0;0;0
2020-07-29 00:07:58;3;1;1;0;0;0;0;0;0;0;0
2020-07-29 00:08:59;3;1;1;0;0;0;0;0;0;0;0
2020-07-29 00:09:58;4;2;1;0;0;0;0;0;0;0;0
2020-07-29 00:10:59;4;2;1;0;0;0;0;0;0;0;0
2020-07-29 00:11:58;4;2;1;0;0;0;0;0;0;0;0
2020-07-29 00:12:59;4;2;1;0;0;0;0;0;0;0;0
2020-07-29 00:13:59;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:14:58;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:15:59;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:16:58;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:18:00;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:18:58;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:19:59;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:20:59;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:21:58;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:22:59;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:23:58;5;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:24:59;6;2;2;0;0;0;0;0;0;0;0
2020-07-29 00:25:58;7;2;2;0;1;0;0;0;0;0;0
2020-07-29 00:26:59;7;2;2;0;1;0;0;0;0;0;0
2020-07-29 00:27:59;7;2;2;0;1;0;0;0;0;0;0
2020-07-29 00:28:58;8;2;3;0;1;0;0;0;0;0;0
2020-07-29 00:29:59;8;2;3;0;1;0;0;0;0;0;0
2020-07-29 00:30:58;8;2;3;0;1;0;0;0;0;0;0
2020-07-29 00:31:59;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:32:58;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:33:59;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:34:58;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:35:59;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:36:58;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:37:59;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:38:59;9;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:39:58;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:40:59;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:41:59;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:42:58;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:43:59;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:44:58;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:45:59;10;3;3;0;1;0;0;0;0;0;0
2020-07-29 00:46:58;12;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:47:59;12;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:48:58;12;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:49:59;13;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:50:59;13;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:51:58;13;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:52:59;13;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:53:58;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:54:59;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:55:58;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:56:59;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:57:58;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:58:59;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 00:59:59;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 01:00:58;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 01:01:59;14;3;3;0;2;0;0;0;0;0;0
2020-07-29 01:02:58;15;3;4;0;2;0;0;0;0;0;0
2020-07-29 01:03:59;15;3;4;0;2;0;0;0;0;0;0
2020-07-29 01:04:58;17;3;4;0;2;0;0;0;0;0;0
2020-07-29 01:05:59;17;3;4;0;2;0;0;0;0;0;0
2020-07-29 01:06:59;18;4;4;0;2;0;0;0;0;0;0
2020-07-29 01:07:58;18;4;4;0;2;0;0;0;0;0;0
2020-07-29 01:08:59;18;4;4;0;2;0;0;0;0;0;0
2020-07-29 01:09:58;19;4;4;0;2;0;0;0;0;0;0
2020-07-29 01:10:59;19;4;4;0;2;0;0;0;0;0;0
2020-07-29 01:11:58;20;4;4;1;2;0;0;0;0;0;0
2020-07-29 01:12:59;20;4;4;1;2;0;0;0;0;0;0
2020-07-29 01:13:59;21;4;4;1;3;0;0;0;0;0;0
2020-07-29 01:14:58;22;4;4;2;3;0;0;0;0;0;0
2020-07-29 01:15:59;22;4;4;2;3;0;0;0;0;0;0
2020-07-29 01:16:59;23;4;4;3;3;0;0;0;0;0;0
2020-07-29 01:17:58;23;4;4;3;3;0;0;0;0;0;0
2020-07-29 01:18:59;23;4;4;3;3;0;0;0;0;0;0
2020-07-29 01:19:58;23;4;4;3;3;0;0;0;0;0;0
2020-07-29 01:20:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:21:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:22:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:23:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:24:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:25:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:26:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:27:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:28:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:29:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:30:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:31:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:32:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:33:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:34:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:35:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:36:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:37:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:38:58;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:39:59;24;4;5;3;3;0;0;0;0;0;0
2020-07-29 01:40:58;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:41:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:42:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:43:58;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:44:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:45:58;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:46:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:47:58;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:48:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:49:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:50:58;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:51:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:52:59;25;5;5;3;3;0;0;0;0;0;0
2020-07-29 01:53:58;26;6;5;3;3;0;0;0;0;0;0
2020-07-29 01:54:59;27;6;5;3;3;0;0;0;0;0;0
2020-07-29 01:55:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 01:56:58;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 01:57:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 01:58:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 01:59:58;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:00:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:01:58;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:02:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:03:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:04:58;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:06:00;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:06:58;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:07:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:08:59;30;6;6;3;3;1;0;0;0;0;0
2020-07-29 02:09:58;31;6;6;4;3;1;0;0;0;0;0
2020-07-29 02:10:59;31;6;6;4;3;1;0;0;0;0;0
2020-07-29 02:11:59;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:12:58;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:13:59;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:14:58;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:15:59;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:16:59;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:17:58;32;6;7;4;3;1;0;0;0;0;0
2020-07-29 02:18:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:19:58;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:20:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:21:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:22:58;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:23:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:24:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:25:58;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:26:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:27:58;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:28:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:29:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:30:58;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:31:59;33;6;8;4;3;1;0;0;0;0;0
2020-07-29 02:32:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:33:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:34:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:35:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:36:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:37:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:38:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:39:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:40:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:41:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:42:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:43:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:44:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:45:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:46:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:47:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:48:58;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:49:59;34;6;8;4;3;1;0;1;0;1;0
2020-07-29 02:50:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:51:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:52:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:53:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:54:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:55:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:56:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:57:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:58:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 02:59:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:00:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:01:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:02:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:03:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:04:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:05:58;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:06:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:07:59;35;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:08:58;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:09:59;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:10:58;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:11:59;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:12:58;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:13:59;36;6;8;4;4;1;0;0;0;1;0
2020-07-29 03:14:58;36;6;8;4;4;1;0;0;0;1;0
