datetime;total_votes;Fill;kross;navalny;Hexadecachoron;KOCTOPE3;Der_Sturmer;Jey;ksolotl;Shady;Есения
2020-08-05 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-08-05 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:02:59;2;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:03:58;2;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:05:00;2;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:05:58;2;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:06:59;3;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:07:59;3;1;0;0;0;0;0;0;0;0;0
2020-08-05 00:08:58;4;1;0;1;0;0;0;0;0;0;0
2020-08-05 00:09:59;4;1;0;1;0;0;0;0;0;0;0
2020-08-05 00:10:58;4;1;0;1;0;0;0;0;0;0;0
2020-08-05 00:11:59;7;1;0;2;0;0;0;0;0;0;0
2020-08-05 00:12:58;7;1;0;2;0;0;0;0;0;0;0
2020-08-05 00:13:59;7;1;0;2;0;0;0;0;0;0;0
2020-08-05 00:14:59;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:15:58;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:16:59;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:17:59;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:18:58;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:19:59;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:20:58;8;1;0;2;0;0;0;0;1;0;0
2020-08-05 00:21:59;11;1;0;4;1;0;0;0;1;0;0
2020-08-05 00:22:59;11;1;0;4;1;0;0;0;1;0;0
2020-08-05 00:23:58;11;1;0;4;1;0;0;0;1;0;0
2020-08-05 00:24:59;11;1;0;4;1;0;0;0;1;0;0
2020-08-05 00:25:58;13;1;0;4;1;0;1;0;1;0;0
2020-08-05 00:26:59;13;1;0;4;1;0;1;0;1;0;0
2020-08-05 00:27:58;16;1;0;5;2;0;1;0;1;0;0
