datetime;total_votes;Private_Ryan;Bf109H;axxl;xtal;Есения;navalny;Noforhamsters;megaslowpoke;Vikvalan;pupsique
2020-08-12 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-08-12 00:01:59;0;0;0;0;0;0;0;0;1;0;0
2020-08-12 00:02:58;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:03:59;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:04:59;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:05:58;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:06:59;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:07:59;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:08:58;2;0;1;0;0;0;0;0;1;0;0
2020-08-12 00:09:59;4;0;2;0;0;1;0;0;1;0;0
2020-08-12 00:10:59;5;0;2;0;0;1;0;0;1;0;0
2020-08-12 00:11:58;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:12:59;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:13:59;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:14:58;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:15:59;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:16:59;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:17:59;6;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:18:58;7;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:19:59;7;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:20:59;7;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:21:58;7;0;2;0;1;1;0;0;1;0;0
2020-08-12 00:22:59;8;0;3;0;1;1;0;0;1;0;0
2020-08-12 00:23:59;8;0;3;0;1;1;0;0;1;0;0
2020-08-12 00:24:58;8;0;3;0;1;1;0;0;1;0;0
2020-08-12 00:25:59;9;0;3;0;1;1;0;0;1;0;0
2020-08-12 00:26:58;10;0;3;0;1;1;0;0;1;0;0
2020-08-12 00:27:59;11;0;4;0;1;1;0;0;1;0;0
2020-08-12 00:28:59;11;0;4;0;1;1;0;0;1;0;0
2020-08-12 00:29:58;11;0;4;0;1;1;0;0;1;0;0
2020-08-12 00:30:59;12;0;5;0;1;1;0;0;1;0;0
2020-08-12 00:31:59;12;0;5;0;1;1;0;0;1;0;0
2020-08-12 00:32:58;12;0;5;0;1;1;0;0;1;0;0
2020-08-12 00:33:59;13;0;5;0;1;1;0;0;1;0;0
2020-08-12 00:34:59;13;0;5;0;1;1;0;0;1;0;0
2020-08-12 00:35:58;14;1;5;0;1;1;0;0;1;0;0
2020-08-12 00:36:59;14;1;5;0;1;1;0;0;1;0;0
2020-08-12 00:37:58;14;1;5;0;1;1;0;0;1;0;0
2020-08-12 00:38:59;15;1;5;0;2;1;0;0;1;0;0
2020-08-12 00:39:58;15;1;5;0;2;1;0;0;1;0;0
2020-08-12 00:40:59;15;1;5;0;2;1;0;0;1;0;0
2020-08-12 00:41:58;16;1;5;0;2;1;0;0;1;0;0
2020-08-12 00:42:59;16;1;5;0;2;1;0;0;1;0;0
2020-08-12 00:43:58;18;1;6;0;3;1;0;0;1;0;0
2020-08-12 00:44:59;18;1;6;0;3;1;0;0;1;0;0
2020-08-12 00:45:59;18;1;6;0;3;1;0;0;1;0;0
2020-08-12 00:46:58;19;1;6;1;3;1;0;0;1;0;0
2020-08-12 00:47:59;20;1;7;1;3;1;0;0;1;0;0
2020-08-12 00:48:58;20;1;7;1;3;1;0;0;1;0;0
2020-08-12 00:49:59;20;1;7;1;3;1;0;0;1;0;0
2020-08-12 00:50:59;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:51:58;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:52:59;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:53:59;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:54:58;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:55:59;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:56:58;21;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:57:59;22;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:58:59;22;1;7;2;3;1;0;0;1;0;0
2020-08-12 00:59:58;22;1;7;2;3;1;0;0;1;0;0
2020-08-12 01:00:59;22;1;7;2;3;1;0;0;1;0;0
2020-08-12 01:01:59;23;1;7;2;3;1;0;0;2;0;0
2020-08-12 01:02:58;23;1;7;2;3;1;0;0;2;0;0
2020-08-12 01:03:59;24;1;7;2;3;1;1;0;2;0;0
2020-08-12 01:04:59;25;2;7;2;3;1;0;0;2;0;0
2020-08-12 01:05:58;25;2;7;2;3;1;0;0;2;0;0
2020-08-12 01:06:59;25;3;7;2;3;1;0;0;2;0;0
2020-08-12 01:07:58;25;3;7;2;3;1;0;0;2;0;0
2020-08-12 01:08:59;25;3;7;2;3;1;0;0;2;0;0
2020-08-12 01:09:59;25;3;7;2;3;1;0;0;2;0;0
2020-08-12 01:10:58;25;3;7;2;3;1;0;0;2;0;0
2020-08-12 01:11:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:12:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:13:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:14:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:15:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:16:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:17:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:18:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:19:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:20:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:21:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:22:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:23:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:24:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:25:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:26:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:27:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:28:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:29:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:30:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:31:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:32:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:33:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:34:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:35:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:37:00;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:37:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:38:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:39:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:40:59;29;4;9;2;4;1;0;0;2;0;0
