datetime;total_votes;jovan;Private_Ryan;DoveKill;axxl;Есения;Bf109H;KOCTOPE3;navalny;NikolaichOld;Seiji
2020-08-19 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-08-19 00:01:58;0;0;0;0;0;0;1;0;0;0;0
2020-08-19 00:02:59;4;0;2;0;0;0;2;0;0;0;0
2020-08-19 00:03:58;4;0;2;0;0;0;2;0;0;0;0
2020-08-19 00:04:59;7;0;4;0;0;0;3;0;0;0;0
2020-08-19 00:05:59;8;0;4;0;0;0;3;0;0;0;0
2020-08-19 00:06:59;8;0;4;0;0;0;3;0;0;0;0
2020-08-19 00:07:58;8;0;4;0;0;0;3;0;0;0;0
2020-08-19 00:08:59;9;0;5;0;0;0;4;0;0;0;0
2020-08-19 00:09:59;10;0;6;0;0;0;4;0;0;0;0
2020-08-19 00:10:58;11;0;6;0;0;0;5;0;0;0;0
2020-08-19 00:11:59;12;0;7;0;0;0;5;0;0;0;0
2020-08-19 00:12:59;13;0;7;0;0;0;5;0;0;0;0
2020-08-19 00:13:58;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:14:59;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:15:59;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:16:58;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:17:59;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:18:59;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:19:58;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:20:59;14;0;8;0;0;0;5;0;0;0;0
2020-08-19 00:21:59;15;0;8;0;0;0;5;0;0;0;1
2020-08-19 00:22:58;15;0;8;0;0;0;5;0;0;0;1
2020-08-19 00:23:59;15;0;8;0;0;0;5;0;0;0;1
2020-08-19 00:24:59;15;0;8;0;0;0;5;0;0;0;1
2020-08-19 00:25:58;18;2;8;0;0;0;5;0;0;0;1
2020-08-19 00:26:59;19;3;8;0;0;0;5;0;0;0;1
2020-08-19 00:27:59;19;3;8;0;0;0;5;0;0;0;1
2020-08-19 00:28:58;20;3;9;0;0;0;5;0;0;0;1
2020-08-19 00:29:59;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:30:59;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:31:58;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:32:59;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:33:59;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:35:00;21;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:35:58;23;3;9;0;0;1;6;0;0;0;1
2020-08-19 00:36:59;23;3;9;0;0;1;6;0;0;0;1
2020-08-19 00:37:59;23;3;9;0;0;1;6;0;0;0;1
2020-08-19 00:38:58;23;3;9;0;0;1;5;0;0;0;1
2020-08-19 00:39:59;24;3;9;0;1;1;5;0;0;0;1
2020-08-19 00:40:59;24;3;9;0;1;1;5;0;0;0;1
2020-08-19 00:41:58;24;3;9;0;1;1;5;0;0;0;1
2020-08-19 00:42:59;24;3;9;0;1;1;5;0;0;0;1
2020-08-19 00:43:59;25;4;9;0;1;1;5;0;0;0;1
2020-08-19 00:44:58;28;6;9;0;2;1;5;0;0;0;1
