datetime;total_votes;Hexadecachoron;megaslowpoke;jovan;Есения;navalny;quick_justice;aeroplanchik;Rumpelstilzchen;megalomaniac;kiLstrom
2020-08-26 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-08-26 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2020-08-26 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2020-08-26 00:03:59;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:04:58;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:05:59;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:06:59;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:07:59;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:08:58;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:09:59;3;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:10:58;4;1;0;0;0;0;0;0;0;0;1
2020-08-26 00:11:59;5;1;0;0;0;0;0;0;0;0;2
2020-08-26 00:12:59;6;1;0;0;1;0;0;0;0;0;2
2020-08-26 00:13:58;6;1;0;0;1;0;0;0;0;0;2
2020-08-26 00:14:59;6;1;0;0;1;0;0;0;0;0;2
2020-08-26 00:15:59;7;1;0;0;2;0;0;0;0;0;2
2020-08-26 00:16:58;7;1;0;0;2;0;0;0;0;0;2
2020-08-26 00:17:59;7;1;0;0;2;0;0;0;0;0;2
2020-08-26 00:18:59;8;1;0;0;2;0;1;0;0;0;2
2020-08-26 00:19:58;8;1;0;0;2;0;1;0;0;0;2
2020-08-26 00:20:59;9;1;0;0;3;0;1;0;0;0;2
2020-08-26 00:21:59;10;2;0;0;3;0;1;0;0;0;2
2020-08-26 00:22:58;10;2;0;0;3;0;1;0;0;0;2
2020-08-26 00:23:59;10;2;0;0;3;0;1;0;0;0;2
2020-08-26 00:24:59;10;2;0;0;3;0;1;0;0;0;2
2020-08-26 00:25:58;10;2;0;0;3;0;1;0;0;0;2
2020-08-26 00:26:59;11;3;0;0;3;0;1;0;0;0;2
2020-08-26 00:27:59;11;3;0;0;3;0;1;0;0;0;2
2020-08-26 00:28:58;11;3;0;0;3;0;1;0;0;0;2
2020-08-26 00:29:59;14;4;0;1;3;0;1;0;0;0;2
2020-08-26 00:30:59;14;4;0;1;3;0;1;0;0;0;2
2020-08-26 00:31:58;14;4;0;1;3;0;0;0;1;0;2
2020-08-26 00:32:59;16;4;0;1;3;0;1;0;2;0;2
2020-08-26 00:33:59;15;4;0;0;3;0;1;0;2;0;2
2020-08-26 00:34:58;17;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:35:59;17;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:36:59;17;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:37:58;17;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:38:59;17;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:39:58;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:40:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:41:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:42:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:43:58;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:44:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:46:00;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:46:58;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:47:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:48:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:49:58;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:50:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:51:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:52:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:53:58;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:54:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:55:59;18;5;0;0;3;0;2;0;2;0;2
2020-08-26 00:57:00;19;5;0;0;3;0;2;0;2;1;2
2020-08-26 00:57:58;19;5;0;0;3;0;2;0;2;1;2
2020-08-26 00:58:59;19;5;0;0;3;0;2;0;2;1;2
2020-08-26 00:59:58;20;5;0;0;3;0;2;0;2;2;2
