datetime;total_votes;paramed;shamanka;Bf109H;ante;Dzenbuddist;cmapukocmankypum;XASSA;Rumpelstilzchen;navalny;quick_justice
2020-09-02 00:00:59;0;0;0;0;0;0;0;1;0;0;0
2020-09-02 00:01:59;2;0;0;1;0;0;0;1;0;0;0
2020-09-02 00:02:58;3;0;0;1;1;0;0;1;0;0;0
2020-09-02 00:03:59;3;0;0;1;1;0;0;1;0;0;0
2020-09-02 00:04:58;4;0;0;1;1;0;1;1;0;0;0
2020-09-02 00:05:59;6;1;0;1;1;0;1;2;0;0;0
2020-09-02 00:06:59;7;2;0;1;1;0;1;2;0;0;0
2020-09-02 00:07:59;7;2;0;1;1;0;1;2;0;0;0
2020-09-02 00:08:58;8;2;0;1;1;0;1;2;0;0;0
2020-09-02 00:09:59;10;2;0;3;1;0;1;2;0;0;0
2020-09-02 00:10:59;10;2;0;3;1;0;1;2;0;0;0
2020-09-02 00:11:58;10;2;0;3;1;0;1;2;0;0;0
2020-09-02 00:12:59;10;2;0;3;1;0;1;2;0;0;0
2020-09-02 00:13:58;10;2;0;3;1;0;1;2;0;0;0
2020-09-02 00:14:59;11;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:15:59;12;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:16:58;12;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:17:59;12;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:18:59;13;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:19:58;13;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:20:59;13;2;0;3;1;0;2;2;0;0;0
2020-09-02 00:21:59;14;2;1;3;1;0;2;2;0;0;0
2020-09-02 00:22:58;15;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:23:59;15;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:24:59;15;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:25:58;15;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:26:59;16;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:27:58;16;2;2;3;1;0;2;2;0;0;0
2020-09-02 00:28:59;18;2;2;4;1;0;2;2;0;0;1
2020-09-02 00:29:59;19;2;2;4;1;0;3;2;0;0;1
2020-09-02 00:30:58;20;2;2;4;2;0;3;2;0;0;1
2020-09-02 00:31:59;22;3;3;4;2;0;3;2;0;0;1
2020-09-02 00:32:59;24;3;3;4;4;0;3;2;0;0;1
2020-09-02 00:33:58;24;3;3;4;4;0;3;2;0;0;1
2020-09-02 00:34:59;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:35:59;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:36:58;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:37:59;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:38:58;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:39:59;25;3;3;4;4;0;3;2;0;0;0
2020-09-02 00:40:59;26;3;3;4;4;0;3;3;0;0;1
