datetime;total_votes;Jareth;Bf109H;navalny;mahinaci9;shamanka;Yo;megaslowpoke;Rumpelstilzchen;axxl;Есения
2020-09-09 00:00:59;2;1;0;0;0;0;0;0;0;0;0
2020-09-09 00:01:58;2;1;0;0;0;0;0;0;0;0;0
2020-09-09 00:02:59;3;1;0;0;1;0;0;0;0;0;0
2020-09-09 00:03:59;4;1;1;0;1;0;0;0;0;0;0
2020-09-09 00:04:58;6;1;1;0;1;0;0;0;0;0;0
2020-09-09 00:05:59;7;1;1;0;1;0;1;0;0;0;0
2020-09-09 00:06:58;7;1;1;0;1;0;1;0;0;0;0
2020-09-09 00:07:59;8;1;1;0;1;0;1;0;1;0;0
2020-09-09 00:08:58;9;1;1;0;1;0;1;0;2;0;0
2020-09-09 00:09:59;10;2;1;0;1;0;1;0;2;0;0
2020-09-09 00:10:59;10;2;1;0;1;0;1;0;2;0;0
2020-09-09 00:12:00;11;2;1;0;1;0;1;0;2;0;0
2020-09-09 00:12:58;11;2;1;0;1;0;1;0;2;0;0
2020-09-09 00:13:59;16;2;2;0;1;0;3;0;3;1;0
2020-09-09 00:14:58;17;2;2;0;1;0;3;0;3;1;0
2020-09-09 00:15:59;18;2;2;0;1;1;3;0;3;1;0
2020-09-09 00:16:59;19;2;2;0;1;2;3;0;3;1;0
2020-09-09 00:17:58;20;2;2;0;1;2;4;0;3;1;0
2020-09-09 00:18:59;21;3;2;0;1;2;4;0;3;1;0
2020-09-09 00:19:59;21;3;2;0;1;2;4;0;3;1;0
2020-09-09 00:20:58;21;3;2;0;1;2;4;0;3;1;0
2020-09-09 00:21:59;22;4;2;0;1;2;4;0;3;1;0
2020-09-09 00:22:58;22;4;2;0;1;2;4;0;3;1;0
2020-09-09 00:23:59;23;4;2;1;1;2;4;0;3;1;0
2020-09-09 00:24:59;25;4;2;1;1;3;4;0;3;1;0
2020-09-09 00:25:58;26;4;3;1;1;3;4;0;3;1;0
2020-09-09 00:26:59;26;4;3;1;1;3;4;0;3;1;0
2020-09-09 00:27:59;26;4;3;1;1;3;4;0;3;1;0
2020-09-09 00:28:58;26;4;3;1;1;3;4;0;3;1;0
2020-09-09 00:29:59;27;4;3;2;1;3;4;0;3;1;0
2020-09-09 00:30:59;27;4;3;2;1;3;4;0;3;1;0
2020-09-09 00:31:58;27;4;3;2;1;3;4;0;3;1;0
2020-09-09 00:32:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:33:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:34:58;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:35:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:36:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:37:58;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:38:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:39:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:40:58;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:41:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:42:58;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:43:59;28;4;4;2;1;3;4;0;3;1;0
2020-09-09 00:44:59;28;4;4;2;1;3;4;0;3;1;0
