datetime;total_votes;TheWho;Grit;transistor;navalny;EMAILWARENFABRIK;megaslowpoke;tutabrain;quick_justice;Есения;a5urbanipa1
2020-09-16 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-09-16 00:01:58;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:02:59;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:03:59;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:04:58;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:05:59;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:06:59;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:07:58;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:08:59;0;0;1;0;0;0;0;0;0;0;0
2020-09-16 00:09:59;2;1;1;0;0;0;0;0;0;0;0
2020-09-16 00:10:58;3;1;1;0;0;0;0;0;0;0;0
2020-09-16 00:11:59;3;1;1;0;0;0;0;0;0;0;0
2020-09-16 00:12:59;3;1;1;0;0;0;0;0;0;0;0
2020-09-16 00:13:58;5;1;1;0;0;1;0;0;0;0;0
2020-09-16 00:14:59;7;1;1;0;0;2;0;0;0;0;0
2020-09-16 00:15:59;7;1;1;0;0;2;0;0;0;0;0
2020-09-16 00:16:58;8;1;1;0;0;3;0;0;0;0;0
2020-09-16 00:17:59;8;1;1;0;0;3;0;0;0;0;0
2020-09-16 00:18:59;8;1;1;0;0;3;0;0;0;0;0
2020-09-16 00:19:58;10;2;1;0;0;3;0;0;0;0;0
2020-09-16 00:20:59;10;2;1;0;0;3;0;0;0;0;0
2020-09-16 00:21:58;12;2;2;1;0;3;0;0;0;0;0
2020-09-16 00:22:59;12;2;2;1;0;3;0;0;0;0;0
2020-09-16 00:23:59;14;3;2;2;0;3;0;0;0;0;0
2020-09-16 00:24:58;14;3;2;2;0;3;0;0;0;0;0
2020-09-16 00:25:59;14;3;2;2;0;3;0;0;0;0;0
2020-09-16 00:26:59;16;4;2;3;0;3;0;0;0;0;0
2020-09-16 00:27:58;17;4;2;3;0;3;0;0;0;0;0
2020-09-16 00:28:59;18;4;2;3;0;3;0;0;1;0;0
2020-09-16 00:29:59;19;4;2;4;0;3;0;0;1;0;0
2020-09-16 00:30:58;19;4;2;4;0;3;0;0;1;0;0
