datetime;total_votes;norpo;Есения;navalny;kaiL;ruweb;shamanka;libertine;avvadonn;Mindsplitter;quick_justice
2020-09-23 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-09-23 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2020-09-23 00:02:59;0;1;0;0;0;0;0;0;0;0;0
2020-09-23 00:03:59;0;1;0;0;0;0;0;0;0;0;0
2020-09-23 00:04:58;0;1;0;0;0;0;0;0;0;0;0
2020-09-23 00:05:59;3;1;0;0;0;0;0;2;0;0;0
2020-09-23 00:06:59;4;1;0;0;0;0;0;3;0;0;0
2020-09-23 00:07:58;4;1;0;0;0;0;0;3;0;0;0
2020-09-23 00:08:59;4;1;0;0;0;0;0;3;0;0;0
2020-09-23 00:09:59;4;1;0;0;0;0;0;3;0;0;0
2020-09-23 00:10:58;6;2;0;0;0;1;0;3;0;0;0
2020-09-23 00:11:59;6;2;0;0;0;1;0;3;0;0;0
2020-09-23 00:12:59;6;2;0;0;0;1;0;3;0;0;0
2020-09-23 00:13:58;6;2;0;0;0;1;0;3;0;0;0
2020-09-23 00:14:59;6;2;0;0;0;1;0;3;0;0;0
2020-09-23 00:15:58;7;2;0;0;0;2;0;3;0;0;0
2020-09-23 00:16:59;7;2;0;0;0;2;0;3;0;0;0
2020-09-23 00:17:59;7;2;0;0;0;2;0;3;0;0;0
2020-09-23 00:18:58;7;2;0;0;0;2;0;3;0;0;0
2020-09-23 00:19:59;7;2;0;0;0;2;0;3;0;0;0
2020-09-23 00:20:59;8;2;1;0;0;2;0;3;0;0;0
2020-09-23 00:21:58;8;2;1;0;0;2;0;3;0;0;0
2020-09-23 00:22:59;11;2;1;0;0;2;0;3;0;0;0
2020-09-23 00:23:59;12;2;2;0;0;2;0;3;0;0;0
2020-09-23 00:24:58;12;2;2;0;0;2;0;3;0;0;0
2020-09-23 00:25:59;13;2;2;0;0;2;0;3;0;1;0
2020-09-23 00:26:59;13;2;2;0;0;2;0;3;0;1;0
2020-09-23 00:27:58;13;2;2;0;0;2;0;3;0;1;0
2020-09-23 00:28:59;13;2;2;0;0;2;0;3;0;1;0
2020-09-23 00:29:58;13;2;2;0;0;2;0;3;0;1;0
2020-09-23 00:30:59;14;2;2;1;0;2;0;3;0;1;0
2020-09-23 00:31:59;14;2;2;1;0;2;0;3;0;1;0
2020-09-23 00:32:58;14;2;2;1;0;2;0;3;0;1;0
2020-09-23 00:33:59;14;2;2;1;0;2;0;3;0;1;0
2020-09-23 00:34:58;15;2;3;1;0;2;0;3;0;1;0
2020-09-23 00:35:59;16;3;3;1;0;2;0;3;0;1;0
2020-09-23 00:36:58;16;3;3;1;0;2;0;3;0;1;0
2020-09-23 00:37:59;16;3;3;1;0;2;0;3;0;1;0
2020-09-23 00:38:59;16;3;3;1;0;2;0;3;0;1;0
2020-09-23 00:39:58;17;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:40:59;18;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:41:58;18;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:42:59;18;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:43:59;18;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:44:58;18;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:45:59;19;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:46:59;19;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:47:58;19;4;3;1;0;2;0;3;0;1;0
2020-09-23 00:48:59;20;4;3;1;0;3;0;3;0;1;0
2020-09-23 00:49:59;20;4;3;1;0;3;0;3;0;1;0
2020-09-23 00:50:58;20;4;3;1;0;3;0;3;0;1;0
2020-09-23 00:51:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:52:58;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:53:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:54:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:55:58;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:56:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:57:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:58:58;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 00:59:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:00:58;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:01:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:02:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:03:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:04:58;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:05:59;21;5;3;1;0;3;0;3;0;1;0
2020-09-23 01:06:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:07:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:08:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:09:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:10:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:11:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:12:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:13:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:14:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:15:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:16:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:17:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:18:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:19:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:20:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:21:58;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:22:59;22;5;3;1;0;3;0;4;0;1;0
2020-09-23 01:23:58;23;5;3;1;0;3;0;5;0;1;0
2020-09-23 01:24:59;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:25:59;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:26:58;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:27:59;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:28:59;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:29:58;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:30:59;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:31:58;24;5;3;2;0;3;0;5;0;1;0
2020-09-23 01:32:59;25;6;3;2;0;3;0;5;0;1;0
2020-09-23 01:33:59;25;6;3;2;0;3;0;5;0;1;0
2020-09-23 01:34:58;25;6;3;2;0;3;0;5;0;1;0
2020-09-23 01:35:59;25;6;3;2;0;3;0;5;0;1;0
2020-09-23 01:36:58;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:37:59;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:38:59;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:39:58;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:40:59;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:41:59;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:42:58;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:43:59;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:45:00;26;7;3;2;0;3;0;5;0;1;0
2020-09-23 01:45:58;27;7;3;2;0;3;0;6;0;1;0
2020-09-23 01:46:59;28;7;3;2;0;3;0;7;0;1;0
2020-09-23 01:47:59;28;7;3;2;0;3;0;7;0;1;0
