datetime;total_votes;norpo;shamanka2_0;pavelomg;Есения;Bf109H;navalny;Rumpelstilzchen;Norbert Bebrueze;UndeadMoroz;Митяй
2020-09-30 00:01:00;0;0;0;0;0;0;0;0;0;0;0
2020-09-30 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2020-09-30 00:02:59;2;2;0;0;0;0;0;0;0;0;0
2020-09-30 00:03:58;2;2;0;0;0;0;0;0;0;0;0
2020-09-30 00:04:59;5;2;0;1;0;0;0;0;0;0;0
2020-09-30 00:05:59;6;2;0;1;0;0;0;0;0;0;0
2020-09-30 00:06:58;6;2;0;1;0;0;0;0;0;0;0
2020-09-30 00:07:59;6;2;0;1;0;0;0;0;0;0;0
2020-09-30 00:08:59;7;2;0;1;0;0;0;1;0;0;0
2020-09-30 00:09:58;7;2;0;1;0;0;0;1;0;0;0
2020-09-30 00:10:59;8;2;0;1;0;0;0;2;0;0;0
2020-09-30 00:11:59;8;2;0;1;0;0;0;2;0;0;0
2020-09-30 00:13:00;8;2;0;1;0;0;0;2;0;0;0
2020-09-30 00:13:58;8;2;0;1;0;0;0;2;0;0;0
2020-09-30 00:14:59;10;2;0;1;0;0;0;3;0;0;0
2020-09-30 00:15:58;11;2;0;1;0;0;0;3;0;0;0
2020-09-30 00:16:59;11;2;0;1;0;0;0;3;0;0;0
2020-09-30 00:17:58;12;2;0;1;1;0;0;3;0;0;0
2020-09-30 00:18:59;12;2;0;1;1;0;0;3;0;0;0
2020-09-30 00:19:58;13;2;0;1;1;0;0;3;0;1;0
2020-09-30 00:20:59;14;2;0;1;2;0;0;3;0;1;0
2020-09-30 00:22:00;14;2;0;1;2;0;0;3;0;1;0
2020-09-30 00:22:58;15;2;0;1;2;0;0;3;1;1;0
2020-09-30 00:23:59;16;2;0;1;2;0;0;3;1;2;0
2020-09-30 00:24:59;16;2;0;1;2;0;0;3;1;2;0
2020-09-30 00:25:58;17;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:26:59;17;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:27:58;17;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:28:59;17;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:29:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:30:58;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:31:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:32:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:33:58;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:34:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:35:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:36:58;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:37:59;18;3;0;1;2;0;0;3;1;2;0
2020-09-30 00:38:59;19;3;0;2;2;0;0;3;1;2;0
2020-09-30 00:39:58;19;3;0;2;2;0;0;3;1;2;0
2020-09-30 00:40:59;19;3;0;2;2;0;0;3;1;2;0
2020-09-30 00:41:59;19;3;0;2;2;0;0;3;1;2;0
2020-09-30 00:42:58;19;3;0;2;2;0;0;3;1;2;0
2020-09-30 00:43:59;20;3;0;2;3;0;0;3;1;2;0
2020-09-30 00:44:59;20;3;0;2;3;0;0;3;1;2;0
2020-09-30 00:45:58;20;3;0;2;3;0;0;3;1;2;0
2020-09-30 00:46:59;20;3;0;2;3;0;0;3;1;2;0
2020-09-30 00:47:58;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:48:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:49:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:50:58;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:51:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:52:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:53:58;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:54:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:55:58;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:56:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:57:59;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:58:58;21;3;0;2;3;1;0;3;1;2;0
2020-09-30 00:59:59;22;3;0;2;4;1;0;3;1;2;0
2020-09-30 01:00:59;22;3;0;2;4;1;0;3;1;2;0
2020-09-30 01:01:58;23;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:02:59;23;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:03:59;23;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:04:58;23;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:05:59;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:06:59;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:07:58;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:08:59;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:09:59;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:10:58;24;3;0;2;4;0;0;3;1;2;0
2020-09-30 01:11:59;25;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:12:59;25;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:13:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:14:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:15:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:16:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:17:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:18:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:19:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:20:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:21:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:22:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:23:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:24:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:25:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:26:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:27:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:28:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:29:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:30:59;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:31:58;26;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:32:59;27;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:33:59;27;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:34:58;27;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:35:59;27;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:36:59;28;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:37:58;28;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:38:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:39:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:40:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:41:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:42:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:43:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:44:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:45:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:46:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:47:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:49:00;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:49:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:50:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:51:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:52:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:53:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:54:58;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:55:59;29;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:56:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:57:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:58:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 01:59:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:00:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:01:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:02:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:03:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:04:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:05:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:06:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:07:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:08:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:09:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:10:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:11:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:12:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:13:58;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:14:59;30;3;0;2;4;1;0;3;0;2;0
2020-09-30 02:15:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:16:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:17:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:18:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:19:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:20:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:21:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:22:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:23:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:24:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:25:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:26:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:27:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:28:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:29:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:30:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:31:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:32:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:33:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:34:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:35:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:36:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:37:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:38:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:39:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:40:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:41:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:42:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:43:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:44:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:45:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:46:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:47:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:48:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:49:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:50:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:51:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:52:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:53:59;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:54:58;31;3;0;2;5;1;0;3;0;2;0
2020-09-30 02:55:59;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 02:56:59;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 02:57:58;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 02:58:59;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 02:59:58;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 03:00:59;32;4;0;2;5;1;0;3;0;2;0
2020-09-30 03:01:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:02:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:03:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:04:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:05:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:06:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:07:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:08:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:09:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:10:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:11:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:12:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:13:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:15:00;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:15:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:16:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:17:58;33;4;0;2;5;0;0;3;0;2;0
