datetime;total_votes;Rumpelstilzchen;navalny;shamanka2_0;KOCTOPE3;Есения;ruweb;quick_justice;mahinaci9;kotophalk;Trudofobique
2020-10-07 00:00:59;0;1;0;0;0;0;0;0;0;0;0
2020-10-07 00:01:58;2;2;0;0;0;0;0;0;0;0;0
2020-10-07 00:02:59;3;2;0;0;0;0;0;0;0;0;1
2020-10-07 00:03:59;4;3;0;0;0;0;0;0;0;0;1
2020-10-07 00:04:58;4;3;0;0;0;0;0;0;0;0;1
2020-10-07 00:05:59;4;3;0;0;0;0;0;0;0;0;1
2020-10-07 00:06:59;6;5;0;0;0;0;0;0;0;0;1
2020-10-07 00:07:58;8;6;0;0;0;0;0;0;0;0;2
2020-10-07 00:08:59;8;6;0;0;0;0;0;0;0;0;2
2020-10-07 00:09:59;9;6;0;1;0;0;0;0;0;0;2
2020-10-07 00:10:58;10;6;0;2;0;0;0;0;0;0;2
2020-10-07 00:11:59;10;6;0;2;0;0;0;0;0;0;2
2020-10-07 00:12:59;11;6;0;2;0;0;0;0;0;0;2
2020-10-07 00:13:58;11;6;0;2;0;0;0;0;0;0;2
2020-10-07 00:14:59;12;6;0;2;0;0;0;1;0;0;2
2020-10-07 00:15:59;12;6;0;2;0;0;0;1;0;0;2
2020-10-07 00:16:58;14;7;1;2;0;0;0;1;0;0;2
2020-10-07 00:17:59;14;7;1;2;0;0;0;1;0;0;2
2020-10-07 00:18:59;14;7;1;2;0;0;0;1;0;0;2
2020-10-07 00:19:58;14;7;1;2;0;0;0;1;0;0;2
2020-10-07 00:20:59;15;8;1;2;0;0;0;1;0;0;2
2020-10-07 00:21:59;16;9;1;2;0;0;0;1;0;0;2
2020-10-07 00:22:58;16;9;1;2;0;0;0;1;0;0;2
2020-10-07 00:23:59;17;10;1;2;0;0;0;1;0;0;2
2020-10-07 00:24:59;17;10;1;2;0;0;0;1;0;0;2
2020-10-07 00:25:58;17;10;1;2;0;0;0;1;0;0;2
2020-10-07 00:26:59;17;10;1;2;0;0;0;1;0;0;2
2020-10-07 00:27:59;18;10;1;2;0;0;0;1;0;1;2
2020-10-07 00:28:58;18;10;1;2;0;0;0;1;0;1;2
2020-10-07 00:29:59;19;11;1;2;0;0;0;1;0;1;2
2020-10-07 00:30:58;19;11;1;2;0;0;0;1;0;1;2
2020-10-07 00:31:59;20;12;1;2;0;0;0;1;0;1;2
2020-10-07 00:32:59;21;12;1;2;0;0;0;1;0;1;2
2020-10-07 00:33:58;21;12;1;2;0;0;0;1;0;1;2
2020-10-07 00:34:59;22;12;1;2;0;0;0;2;0;1;2
2020-10-07 00:35:59;22;12;1;2;0;0;0;2;0;1;2
2020-10-07 00:36:58;22;12;1;2;0;0;0;2;0;1;2
2020-10-07 00:37:59;22;12;1;2;0;0;0;2;0;1;2
2020-10-07 00:38:59;23;13;1;2;0;0;0;2;0;1;2
2020-10-07 00:39:58;23;13;1;2;0;0;0;2;0;1;2
2020-10-07 00:40:59;24;14;1;2;0;0;0;2;0;1;2
2020-10-07 00:41:59;24;14;1;2;0;0;0;2;0;1;2
2020-10-07 00:42:58;24;14;1;2;0;0;0;2;0;1;2
2020-10-07 00:43:59;24;14;1;2;0;0;0;2;0;1;2
2020-10-07 00:44:59;25;14;2;2;0;0;0;2;0;1;2
2020-10-07 00:45:58;25;14;2;2;0;0;0;2;0;1;2
2020-10-07 00:46:59;25;14;2;2;0;0;0;2;0;1;2
2020-10-07 00:47:59;26;14;2;2;1;0;0;2;0;1;2
2020-10-07 00:48:58;27;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:49:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:50:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:51:58;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:52:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:53:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:54:58;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:55:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:56:59;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:57:58;28;14;2;2;1;1;0;2;0;1;2
2020-10-07 00:58:59;28;14;2;2;1;1;0;2;0;1;2
