datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2020-10-14 00:01:59;3;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:02:59;3;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:03:58;4;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:04:59;4;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:05:59;4;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:06:58;4;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:07:59;4;0;2;1;0;0;0;0;0;0;0
2020-10-14 00:08:59;7;0;3;2;0;0;0;0;0;0;0
2020-10-14 00:09:58;7;0;3;2;0;0;0;0;0;0;0
2020-10-14 00:10:59;7;0;3;2;0;0;0;0;0;0;0
2020-10-14 00:11:59;8;0;3;2;0;0;0;0;0;1;0
2020-10-14 00:12:58;12;0;3;2;0;0;0;0;0;3;0
2020-10-14 00:13:59;12;0;3;2;0;0;0;0;0;3;0
2020-10-14 00:14:59;13;0;3;2;0;0;0;0;0;3;1
2020-10-14 00:15:58;13;0;3;2;0;0;0;0;0;3;1
2020-10-14 00:16:59;13;0;3;2;0;0;0;0;0;3;1
2020-10-14 00:17:59;14;0;3;2;1;0;0;0;0;3;1
2020-10-14 00:18:58;15;0;3;2;1;0;0;0;1;3;1
2020-10-14 00:19:59;15;0;3;2;1;0;0;0;1;3;1
2020-10-14 00:20:58;17;0;4;2;0;0;0;1;1;3;1
2020-10-14 00:21:59;17;0;4;2;0;0;0;1;1;3;1
2020-10-14 00:22:59;17;0;4;2;0;0;0;1;1;3;1
2020-10-14 00:23:58;18;0;4;3;0;0;0;1;1;3;1
2020-10-14 00:24:59;18;0;4;3;0;0;0;1;1;3;1
2020-10-14 00:25:59;18;0;4;3;0;0;0;1;1;3;1
2020-10-14 00:26:58;19;1;4;3;0;0;0;1;1;3;1
2020-10-14 00:27:59;20;1;5;3;0;0;0;1;1;3;1
2020-10-14 00:28:59;21;1;6;3;0;0;0;1;1;3;1
2020-10-14 00:29:58;21;1;6;3;0;0;0;1;1;3;1
2020-10-14 00:30:59;21;1;6;3;0;0;0;1;1;3;1
2020-10-14 00:31:58;22;2;6;3;0;0;0;1;1;3;1
