datetime;total_votes;Zippymax;nenastja;shamanka2_0;navalny;megalomaniac;1917;Private_Ryan;Volodya_FM;xtend;shturn
2020-10-21 00:00:59;0;0;0;1;0;0;0;0;0;0;0
2020-10-21 00:01:58;3;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:02:59;3;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:03:59;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:04:58;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:05:59;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:06:59;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:07:58;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:08:59;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:09:59;4;2;0;1;0;0;0;0;0;0;0
2020-10-21 00:10:58;7;2;0;1;0;1;0;0;0;0;0
2020-10-21 00:11:59;7;2;0;1;0;1;0;0;0;0;0
2020-10-21 00:12:59;8;2;0;1;0;1;1;0;0;0;0
2020-10-21 00:13:58;10;2;0;2;0;1;1;0;0;0;0
2020-10-21 00:14:59;10;2;0;2;0;1;1;0;0;0;0
2020-10-21 00:15:59;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:16:58;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:17:59;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:18:59;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:19:58;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:20:59;11;2;0;2;0;1;1;1;0;0;0
2020-10-21 00:21:59;12;2;0;2;0;2;1;1;0;0;0
2020-10-21 00:22:58;12;2;0;2;0;2;1;1;0;0;0
2020-10-21 00:23:59;13;2;0;2;0;2;2;1;0;0;0
2020-10-21 00:24:59;13;2;0;2;0;2;2;1;0;0;0
2020-10-21 00:25:58;14;2;0;2;0;2;3;1;0;0;0
2020-10-21 00:26:59;15;2;0;2;0;3;3;1;0;0;0
2020-10-21 00:27:59;15;2;0;2;0;3;3;1;0;0;0
2020-10-21 00:28:58;15;2;0;2;0;3;3;1;0;0;0
2020-10-21 00:29:59;16;2;1;2;0;3;3;1;0;0;0
2020-10-21 00:30:59;16;2;1;2;0;3;3;1;0;0;0
2020-10-21 00:31:58;17;3;1;2;0;3;3;1;0;0;0
2020-10-21 00:32:59;17;3;1;2;0;3;3;1;0;0;0
2020-10-21 00:33:59;18;3;1;2;0;4;3;1;0;0;0
2020-10-21 00:34:58;19;3;1;2;0;5;3;1;0;0;0
2020-10-21 00:35:59;20;3;1;2;0;6;3;1;0;0;0
2020-10-21 00:36:59;20;3;1;2;0;6;3;1;0;0;0
2020-10-21 00:37:58;21;3;1;2;0;6;4;1;0;0;0
