datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-11-04 00:01:58;2;0;0;0;0;0;0;0;0;0;0
2020-11-04 00:02:59;2;0;0;0;0;0;0;0;0;0;0
2020-11-04 00:03:59;3;1;0;0;0;0;0;0;0;0;0
2020-11-04 00:04:58;4;2;0;0;0;0;0;0;0;0;0
2020-11-04 00:05:59;6;2;0;1;0;0;0;0;0;0;0
2020-11-04 00:06:59;6;2;0;1;0;0;0;0;0;0;0
2020-11-04 00:07:58;7;2;0;2;0;0;0;0;0;0;0
2020-11-04 00:08:59;7;2;0;2;0;0;0;0;0;0;0
2020-11-04 00:09:59;7;2;0;2;0;0;0;0;0;0;0
2020-11-04 00:10:58;7;2;0;2;0;0;0;0;0;0;0
2020-11-04 00:11:59;8;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:12:59;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:13:58;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:14:59;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:15:59;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:16:58;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:17:59;9;3;0;2;0;0;0;0;0;0;0
2020-11-04 00:19:00;10;3;0;2;1;0;0;0;0;0;0
2020-11-04 00:19:58;10;3;0;2;1;0;0;0;0;0;0
2020-11-04 00:20:59;11;3;1;2;1;0;0;0;0;0;0
2020-11-04 00:21:59;13;3;1;2;1;2;0;0;0;0;0
2020-11-04 00:22:58;13;3;1;2;1;2;0;0;0;0;0
2020-11-04 00:23:59;15;4;1;2;2;2;0;0;0;0;0
2020-11-04 00:24:59;15;4;1;2;2;2;0;0;0;0;0
2020-11-04 00:25:58;15;4;1;2;2;2;0;0;0;0;0
2020-11-04 00:26:59;15;4;1;2;2;2;0;0;0;0;0
2020-11-04 00:27:59;15;4;1;2;2;2;0;0;0;0;0
2020-11-04 00:28:59;17;4;1;4;2;2;0;0;0;0;0
2020-11-04 00:29:58;17;4;1;4;2;2;0;0;0;0;0
2020-11-04 00:30:59;17;5;1;3;2;2;0;0;0;0;0
2020-11-04 00:31:58;17;5;1;3;2;2;0;0;0;0;0
2020-11-04 00:32:59;18;6;1;3;2;2;0;0;0;0;0
2020-11-04 00:33:59;19;6;1;3;2;2;0;1;0;0;0
2020-11-04 00:34:58;20;7;1;3;2;2;0;1;0;0;0
2020-11-04 00:35:59;20;7;1;3;2;2;0;1;0;0;0
2020-11-04 00:36:59;20;7;1;3;2;2;0;1;0;0;0
2020-11-04 00:37:58;21;7;1;3;2;2;0;0;0;1;0
2020-11-04 00:38:59;21;7;1;3;2;2;0;0;0;1;0
2020-11-04 00:39:59;22;7;2;3;2;2;0;1;0;0;0
2020-11-04 00:40:58;22;7;2;3;2;2;0;1;0;0;0
2020-11-04 00:41:59;22;7;2;3;2;2;0;1;0;0;0
2020-11-04 00:42:59;23;7;2;3;2;2;0;0;0;1;0
2020-11-04 00:43:58;23;7;2;3;2;2;0;0;0;1;0
