datetime;total_votes;nekto_mozg;Neymar_Junior;shamanka2_0;maria_ego;navalny;vatnostakan;quick_justice;Helter;Ejik;Dirtylieutenant
2020-11-11 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2020-11-11 00:01:58;2;0;2;0;0;0;0;0;0;0;0
2020-11-11 00:02:59;3;0;2;0;0;0;0;0;0;0;0
2020-11-11 00:03:59;3;0;2;0;0;0;0;0;0;0;0
2020-11-11 00:04:58;4;0;2;0;0;1;0;0;0;0;0
2020-11-11 00:05:59;4;0;2;0;0;1;0;0;0;0;0
2020-11-11 00:06:59;5;0;3;0;0;1;0;0;0;0;0
2020-11-11 00:07:58;5;0;3;0;0;1;0;0;0;0;0
2020-11-11 00:08:59;5;0;3;0;0;1;0;0;0;0;0
2020-11-11 00:09:59;6;0;4;0;0;1;0;0;0;0;0
2020-11-11 00:10:58;6;0;4;0;0;1;0;0;0;0;0
2020-11-11 00:11:59;6;0;4;0;0;1;0;0;0;0;0
2020-11-11 00:12:59;7;0;4;0;0;1;0;0;1;0;0
2020-11-11 00:13:59;8;0;4;0;0;1;0;0;2;0;0
2020-11-11 00:14:58;8;0;4;0;0;1;0;0;2;0;0
2020-11-11 00:15:59;9;0;5;0;0;1;0;0;2;0;0
2020-11-11 00:16:59;9;0;5;0;0;1;0;0;2;0;0
2020-11-11 00:17:58;9;0;5;0;0;1;0;0;2;0;0
2020-11-11 00:18:59;10;0;5;0;0;1;0;0;2;0;1
2020-11-11 00:19:59;12;0;5;0;0;1;0;0;2;1;2
2020-11-11 00:20:58;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:21:59;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:22:59;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:23:58;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:24:59;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:25:59;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:26:58;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:27:59;15;1;5;0;1;1;0;0;3;1;2
2020-11-11 00:28:59;16;1;6;0;1;1;0;0;3;1;2
2020-11-11 00:29:58;16;1;6;0;1;1;0;0;3;1;2
2020-11-11 00:30:59;16;1;6;0;1;1;0;0;3;1;2
2020-11-11 00:31:59;17;2;6;0;1;1;0;0;3;1;2
