datetime;total_votes;Bf109H;Bruja_;navalny;Neymar_Junior;shamanka2_0;Der_Sturmer;roMoceK;Dirtylieutenant;kpya3e;quick_justice
2020-11-18 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-11-18 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2020-11-18 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2020-11-18 00:03:59;0;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:04:58;2;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:05:59;2;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:06:59;2;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:07:59;2;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:08:58;2;0;0;0;0;0;0;0;0;1;0
2020-11-18 00:09:59;3;0;1;0;0;0;0;0;0;1;0
2020-11-18 00:10:59;5;0;2;0;1;0;0;0;0;1;0
2020-11-18 00:11:58;5;0;2;0;1;0;0;0;0;1;0
2020-11-18 00:12:59;7;0;3;1;1;0;0;0;0;1;0
2020-11-18 00:13:58;7;0;3;1;1;0;0;0;0;1;0
2020-11-18 00:14:59;8;0;3;2;1;0;0;0;0;1;0
2020-11-18 00:15:59;9;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:16:59;9;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:17:58;9;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:18:59;10;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:19:59;11;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:20:58;11;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:21:59;12;1;3;2;1;0;0;0;0;1;0
2020-11-18 00:22:59;15;1;4;2;1;0;0;0;2;1;0
2020-11-18 00:23:58;15;1;4;2;1;0;0;0;2;1;0
2020-11-18 00:24:59;16;1;4;2;1;0;0;0;3;1;0
2020-11-18 00:25:59;17;1;4;2;2;0;0;0;3;1;0
2020-11-18 00:26:58;17;1;4;2;2;0;0;0;3;1;0
2020-11-18 00:27:59;19;2;4;2;2;0;0;0;3;1;0
2020-11-18 00:28:59;20;2;4;2;3;0;0;0;3;0;0
2020-11-18 00:29:58;21;2;4;2;3;0;0;0;3;1;0
2020-11-18 00:30:59;23;2;4;2;3;0;0;0;3;0;0
2020-11-18 00:31:59;24;2;4;2;3;0;0;0;3;1;0
2020-11-18 00:32:58;25;2;4;2;3;0;2;0;3;1;0
2020-11-18 00:33:59;26;2;4;2;3;0;2;0;3;1;0
2020-11-18 00:34:59;27;2;4;2;3;0;3;0;3;1;0
2020-11-18 00:35:58;27;2;4;2;3;0;3;0;3;1;0
