datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-11-25 00:01:59;3;0;0;0;0;1;0;1;0;0;0
2020-11-25 00:02:58;4;0;0;0;0;1;0;1;0;0;0
2020-11-25 00:03:59;7;0;2;0;0;1;1;1;0;0;0
2020-11-25 00:04:59;11;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:05:58;12;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:06:59;12;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:07:59;12;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:08:58;13;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:09:59;13;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:10:59;13;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:11:58;13;0;2;1;0;1;2;1;0;0;1
2020-11-25 00:12:59;14;0;2;1;0;1;3;1;0;0;1
2020-11-25 00:13:59;16;0;4;1;0;1;3;1;0;0;1
2020-11-25 00:14:58;16;0;4;1;0;1;3;1;0;0;1
2020-11-25 00:15:59;18;1;5;1;0;1;3;1;0;0;1
2020-11-25 00:16:59;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:17:58;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:18:59;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:19:59;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:20:58;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:21:59;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:22:59;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:23:58;19;1;5;2;0;1;3;1;0;0;0
2020-11-25 00:24:59;20;2;5;2;0;1;3;0;0;0;0
2020-11-25 00:25:58;20;2;5;2;0;1;3;0;0;0;0
2020-11-25 00:26:59;22;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:27:59;22;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:28:58;22;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:29:59;22;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:30:59;22;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:31:58;23;4;5;2;0;1;3;0;0;0;0
2020-11-25 00:32:59;25;4;6;2;1;1;3;0;0;0;0
2020-11-25 00:33:59;25;4;6;2;1;1;3;0;0;0;0
2020-11-25 00:34:58;26;4;6;2;2;1;3;0;0;0;0
2020-11-25 00:35:59;26;4;6;2;2;1;3;0;0;0;0
