datetime;total_votes;Aba-fisher;shamanka2_0;KOCTOPE3;navalny;Hactar;patient;shturn;ANALCUNT;brammator;gurt
2020-12-02 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-12-02 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2020-12-02 00:02:58;2;0;0;0;0;0;0;0;0;0;0
2020-12-02 00:03:59;3;0;0;0;0;0;0;0;0;0;0
2020-12-02 00:04:59;4;1;0;0;0;0;0;0;0;0;0
2020-12-02 00:05:59;6;2;0;1;0;0;0;0;0;0;0
2020-12-02 00:06:58;7;2;0;1;0;0;0;0;0;0;0
2020-12-02 00:07:59;7;2;0;1;0;0;0;0;0;0;0
2020-12-02 00:09:00;8;3;0;1;0;0;0;0;0;0;0
2020-12-02 00:09:58;8;3;0;1;0;0;0;0;0;0;0
2020-12-02 00:10:59;8;3;0;1;0;0;0;0;0;0;0
2020-12-02 00:12:00;8;3;0;1;0;0;0;0;0;0;0
2020-12-02 00:12:58;8;3;0;1;0;0;0;0;0;0;0
2020-12-02 00:13:59;10;4;1;1;0;0;0;0;0;0;0
2020-12-02 00:14:59;11;4;1;1;0;1;0;0;0;0;0
2020-12-02 00:15:58;11;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:16:59;11;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:17:59;11;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:18:58;11;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:19:59;11;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:20:58;12;4;2;1;0;1;0;0;0;0;0
2020-12-02 00:21:59;14;5;2;1;0;2;0;0;0;0;0
2020-12-02 00:22:59;14;5;2;1;0;2;0;0;0;0;0
2020-12-02 00:23:58;16;5;2;1;0;4;0;0;0;0;0
2020-12-02 00:24:59;16;5;2;1;0;4;0;0;0;0;0
2020-12-02 00:25:59;16;5;2;1;0;4;0;0;0;0;0
2020-12-02 00:26:58;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:27:59;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:28:58;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:29:59;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:30:59;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:31:58;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:32:59;18;5;3;1;1;4;0;0;0;0;0
2020-12-02 00:33:59;19;5;3;1;2;4;0;0;0;0;0
2020-12-02 00:34:58;20;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:35:59;20;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:36:58;20;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:37:59;20;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:38:58;20;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:39:59;21;5;3;1;2;4;0;0;0;0;1
2020-12-02 00:40:59;22;6;3;1;2;4;0;0;0;0;1
2020-12-02 00:41:58;22;6;3;1;2;4;0;0;0;0;1
2020-12-02 00:42:59;24;6;5;1;2;4;0;0;0;0;1
2020-12-02 00:43:59;25;7;5;1;2;4;0;0;0;0;1
2020-12-02 00:44:58;26;7;6;1;2;4;0;0;0;0;1
2020-12-02 00:45:59;27;8;6;1;2;4;0;0;0;0;1
2020-12-02 00:46:59;29;9;6;1;2;5;0;0;0;0;1
2020-12-02 00:47:58;29;9;6;1;2;5;0;0;0;0;1
2020-12-02 00:48:59;29;9;6;1;2;5;0;0;0;0;1
