datetime;total_votes;paramed;Der_Sturmer;Mindsplitter;telegraf;navalny;Volodya_FM;vatnostakan;shturn;Есения;raaxiom
2020-12-09 00:00:59;0;0;0;0;0;1;0;0;0;0;0
2020-12-09 00:01:59;0;0;0;0;0;1;0;0;0;0;0
2020-12-09 00:02:58;0;0;0;0;0;1;0;0;0;0;0
2020-12-09 00:03:59;2;0;0;0;0;1;1;0;0;0;0
2020-12-09 00:04:58;3;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:05:59;3;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:06:59;3;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:07:58;3;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:08:59;4;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:09:59;4;0;0;1;0;1;1;0;0;0;0
2020-12-09 00:10:58;5;0;0;1;0;1;1;0;0;0;1
2020-12-09 00:11:59;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:12:59;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:13:58;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:14:59;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:15:59;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:16:58;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:17:59;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:18:58;8;0;0;2;0;1;1;0;0;0;3
2020-12-09 00:19:59;9;0;0;2;0;1;2;0;0;0;3
2020-12-09 00:20:59;11;0;0;3;1;1;2;0;0;0;3
2020-12-09 00:21:58;12;0;1;3;1;1;2;0;0;0;3
2020-12-09 00:22:59;16;0;3;4;1;2;2;0;0;0;3
2020-12-09 00:23:58;16;0;3;4;1;2;2;0;0;0;3
2020-12-09 00:24:59;16;0;3;4;1;2;2;0;0;0;3
2020-12-09 00:25:59;17;0;3;4;1;2;2;0;0;1;3
2020-12-09 00:26:58;17;0;3;4;1;2;2;0;0;1;3
2020-12-09 00:27:59;17;0;3;4;1;2;2;0;0;1;3
2020-12-09 00:28:58;17;0;3;4;1;2;2;0;0;1;3
2020-12-09 00:29:59;17;0;3;4;1;2;2;0;0;1;3
2020-12-09 00:30:59;18;0;4;4;1;2;2;0;0;1;3
2020-12-09 00:31:58;18;0;4;4;1;2;2;0;0;1;3
2020-12-09 00:32:59;18;0;4;4;1;2;2;0;0;1;3
2020-12-09 00:33:59;18;0;4;4;1;2;2;0;0;1;3
2020-12-09 00:34:58;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:35:59;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:36:59;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:37:58;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:38:59;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:40:00;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:40:58;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:41:59;19;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:42:58;20;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:43:59;21;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:44:59;21;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:45:58;21;0;4;5;1;2;2;0;0;1;3
2020-12-09 00:46:59;22;0;4;5;1;3;2;0;0;1;3
2020-12-09 00:47:59;23;0;4;5;1;3;2;0;0;1;3
2020-12-09 00:48:58;23;0;4;5;1;3;2;0;0;2;3
2020-12-09 00:49:59;24;0;5;5;1;3;2;0;0;2;3
2020-12-09 00:50:59;24;0;5;5;1;3;2;0;0;2;3
2020-12-09 00:51:58;25;0;5;6;1;3;2;0;0;2;3
2020-12-09 00:52:59;25;0;5;6;1;3;2;0;0;2;3
2020-12-09 00:53:59;25;0;5;6;1;3;2;0;0;2;3
2020-12-09 00:54:58;25;0;5;6;1;3;2;0;0;2;3
2020-12-09 00:55:59;26;0;5;6;1;3;3;0;0;2;3
2020-12-09 00:56:58;26;0;5;6;1;3;3;0;0;2;3
2020-12-09 00:57:59;28;0;5;6;2;3;3;0;0;2;3
2020-12-09 00:58:58;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 00:59:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:00:58;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:01:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:02:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:03:58;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:04:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:05:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:06:58;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:07:59;29;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:08:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:09:58;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:10:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:11:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:12:58;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:13:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:14:58;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:15:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:16:58;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:17:59;30;1;5;6;2;3;3;0;0;2;3
2020-12-09 01:18:59;31;1;5;6;2;4;3;0;0;2;3
2020-12-09 01:19:58;31;1;5;6;2;4;3;0;0;2;3
2020-12-09 01:20:59;31;1;5;6;2;4;3;0;0;2;3
2020-12-09 01:21:59;31;1;5;6;2;4;3;0;0;2;3
2020-12-09 01:22:58;32;1;5;6;2;4;3;0;0;3;3
2020-12-09 01:23:59;32;1;5;6;2;4;3;0;0;3;3
2020-12-09 01:24:59;33;1;6;6;2;4;3;0;0;3;3
2020-12-09 01:25:58;33;1;6;6;2;4;3;0;0;3;3
2020-12-09 01:26:59;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:27:59;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:28:58;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:29:59;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:30:58;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:31:59;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:32:59;34;1;7;6;2;4;3;0;0;3;3
2020-12-09 01:33:58;35;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:34:59;35;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:35:59;36;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:36:58;36;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:37:59;36;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:38:58;36;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:39:59;36;1;7;6;3;4;3;0;0;3;3
2020-12-09 01:40:58;38;1;8;7;3;4;3;0;0;3;3
2020-12-09 01:41:59;38;1;8;7;3;4;3;0;0;3;3
2020-12-09 01:42:59;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:43:59;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:44:58;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:45:59;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:47:00;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:47:58;39;1;9;7;3;4;3;0;0;3;3
2020-12-09 01:48:59;40;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:49:58;40;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:50:59;40;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:51:59;40;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:52:58;41;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:53:59;41;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:54:59;41;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:55:58;41;0;9;7;3;4;3;0;0;3;3
2020-12-09 01:56:59;42;0;9;7;4;4;3;0;0;3;3
2020-12-09 01:57:59;43;0;9;7;5;4;2;0;0;3;3
2020-12-09 01:58:58;43;0;9;7;5;4;2;0;0;3;3
2020-12-09 01:59:59;43;0;9;7;5;4;2;0;0;3;3
2020-12-09 02:00:58;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:01:59;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:02:58;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:03:59;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:04:59;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:05:58;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:06:59;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:07:59;43;0;9;8;5;4;2;0;0;3;2
2020-12-09 02:08:58;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:09:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:10:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:11:58;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:12:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:13:58;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:14:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:15:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:16:58;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:17:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:18:59;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:19:58;44;0;9;9;5;4;2;0;0;3;2
2020-12-09 02:20:59;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:21:58;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:22:59;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:23:59;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:24:58;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:25:59;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:26:59;45;0;9;9;5;4;3;0;0;3;2
2020-12-09 02:27:58;46;1;9;9;5;4;3;0;0;3;2
2020-12-09 02:28:59;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:29:59;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:30:58;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:31:59;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:32:58;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:33:59;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:34:59;46;0;9;10;5;4;3;0;0;3;2
2020-12-09 02:35:58;46;0;9;10;5;4;3;0;0;3;2
