datetime;total_votes;navalny;Alterdino;Terkin;KT;KOCTOPE3;Grit;Mindsplitter;Der_Sturmer;shturn;BadFish
2020-12-16 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-12-16 00:01:58;0;1;0;0;0;0;0;0;0;0;0
2020-12-16 00:02:59;3;1;1;0;0;0;0;1;0;0;0
2020-12-16 00:03:59;4;1;1;0;0;0;0;1;0;0;0
2020-12-16 00:04:58;5;1;1;0;1;0;0;1;0;0;0
2020-12-16 00:05:59;6;1;1;0;1;0;0;1;0;0;0
2020-12-16 00:06:59;8;1;1;1;2;0;0;1;0;0;0
2020-12-16 00:07:58;8;1;1;1;2;0;0;1;0;0;0
2020-12-16 00:08:59;9;1;1;1;2;0;0;2;0;0;0
2020-12-16 00:09:59;10;1;1;1;2;0;0;2;0;0;0
2020-12-16 00:10:58;10;1;1;1;2;0;0;2;0;0;0
2020-12-16 00:11:59;10;1;1;1;2;0;0;2;0;0;0
2020-12-16 00:12:58;11;1;2;1;2;0;0;2;0;0;0
2020-12-16 00:13:59;13;1;2;2;2;0;0;2;0;0;0
2020-12-16 00:14:58;13;1;2;2;2;0;0;2;0;0;0
2020-12-16 00:15:59;14;1;2;2;2;0;0;2;0;0;0
2020-12-16 00:16:58;14;1;2;2;2;0;0;2;0;0;0
2020-12-16 00:17:59;14;1;2;2;2;0;0;2;0;0;0
2020-12-16 00:18:59;17;2;3;2;2;0;0;2;1;0;0
2020-12-16 00:19:59;18;2;3;2;2;0;0;2;1;0;0
2020-12-16 00:20:58;19;2;3;2;2;0;0;2;1;0;0
2020-12-16 00:21:59;20;2;3;2;3;0;0;2;1;0;0
2020-12-16 00:22:58;20;2;3;2;3;0;0;2;1;0;0
2020-12-16 00:23:59;22;2;3;2;3;0;0;3;2;0;0
2020-12-16 00:24:59;23;2;3;2;3;0;0;3;3;0;0
2020-12-16 00:25:58;23;2;3;2;3;0;0;3;3;0;0
2020-12-16 00:26:59;24;3;3;2;3;0;0;3;3;0;0
2020-12-16 00:27:59;24;3;3;2;3;0;0;3;3;0;0
2020-12-16 00:28:58;24;3;3;2;3;0;0;3;3;0;0
2020-12-16 00:29:59;24;3;3;2;3;0;0;3;3;0;0
