datetime;total_votes;Oleum;Grit;KOCTOPE3;Dirtylieutenant;UndeadMoroz;Bruja_;a5urbanipa1;raaxiom;napa3um;1917
2020-12-30 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2020-12-30 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2020-12-30 00:02:59;3;0;1;0;0;0;0;0;0;0;0
2020-12-30 00:03:59;4;0;2;0;0;0;0;0;0;0;0
2020-12-30 00:04:59;4;0;2;0;0;0;0;0;0;0;0
2020-12-30 00:05:58;4;0;2;0;0;0;0;0;0;0;0
2020-12-30 00:06:59;5;0;2;0;0;0;0;0;0;0;0
2020-12-30 00:07:59;7;0;2;0;0;0;1;0;0;0;1
2020-12-30 00:08:58;8;0;2;1;0;0;1;0;0;0;1
2020-12-30 00:09:59;8;0;2;1;0;0;1;0;0;0;1
2020-12-30 00:10:58;8;0;2;1;0;0;1;0;0;0;1
2020-12-30 00:11:59;9;0;2;1;0;0;1;0;0;0;1
2020-12-30 00:12:59;9;0;2;1;0;0;1;0;0;0;1
2020-12-30 00:13:58;10;0;3;1;0;0;1;0;0;0;1
2020-12-30 00:14:59;10;0;3;1;0;0;1;0;0;0;1
2020-12-30 00:15:59;10;0;3;1;0;0;1;0;0;0;1
2020-12-30 00:16:58;10;0;3;1;0;0;1;0;0;0;1
2020-12-30 00:17:59;10;0;3;1;0;0;1;0;0;0;1
2020-12-30 00:18:59;12;1;3;1;0;0;1;0;0;0;1
2020-12-30 00:19:58;13;1;4;1;0;0;1;0;0;0;1
2020-12-30 00:20:59;14;1;4;1;0;0;1;0;0;0;1
2020-12-30 00:21:59;14;1;4;1;0;0;1;0;0;0;1
2020-12-30 00:22:58;14;1;4;1;0;0;1;0;0;0;1
2020-12-30 00:23:59;15;1;5;1;0;0;1;0;0;0;1
2020-12-30 00:24:59;16;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:25:58;16;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:26:59;16;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:27:59;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:28:58;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:29:59;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:30:59;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:31:58;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:32:59;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:33:59;17;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:34:58;18;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:35:59;18;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:36:59;18;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:37:58;18;1;6;1;0;0;1;0;0;0;1
2020-12-30 00:38:59;19;2;6;1;0;0;1;0;0;0;1
2020-12-30 00:39:59;19;2;6;1;0;0;1;0;0;0;1
2020-12-30 00:40:58;19;2;6;1;0;0;1;0;0;0;1
2020-12-30 00:41:59;20;3;6;1;0;0;1;0;0;0;1
2020-12-30 00:42:59;20;3;6;1;0;0;1;0;0;0;1
2020-12-30 00:43:59;20;3;6;1;0;0;1;0;0;0;1
2020-12-30 00:44:58;20;3;6;1;0;0;1;0;0;0;1
2020-12-30 00:45:59;21;3;6;1;0;0;1;0;0;0;1
2020-12-30 00:46:58;22;4;6;1;0;0;1;0;0;0;1
2020-12-30 00:47:59;22;4;6;1;0;0;1;0;0;0;1
2020-12-30 00:48:59;22;4;6;1;0;0;1;0;0;0;1
2020-12-30 00:50:00;24;4;7;1;0;0;1;0;0;0;2
2020-12-30 00:50:58;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:51:59;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:52:59;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:53:58;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:54:59;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:55:59;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:56:58;25;4;7;1;0;1;1;0;0;0;2
2020-12-30 00:57:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 00:58:58;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 00:59:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:00:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:01:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:02:58;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:03:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:04:58;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:05:59;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:06:58;27;4;8;1;0;2;1;0;0;0;2
2020-12-30 01:07:59;28;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:08:59;28;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:09:58;28;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:10:59;29;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:11:59;29;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:12:58;29;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:13:59;29;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:15:00;29;5;8;1;0;2;1;0;0;0;2
2020-12-30 01:15:58;30;6;8;1;0;2;1;0;0;0;2
2020-12-30 01:16:59;31;6;8;1;0;2;1;0;0;0;2
2020-12-30 01:17:59;31;6;8;1;0;2;1;0;0;0;2
2020-12-30 01:18:58;31;6;8;1;0;2;1;0;0;0;2
2020-12-30 01:19:59;31;6;8;1;0;2;1;0;0;0;2
2020-12-30 01:20:58;32;7;8;1;0;2;1;0;0;0;2
2020-12-30 01:21:59;32;7;8;1;0;2;1;0;0;0;2
2020-12-30 01:22:58;32;7;8;1;0;2;1;0;0;0;2
2020-12-30 01:23:59;33;7;8;1;0;2;1;0;0;0;2
2020-12-30 01:24:59;34;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:26:00;35;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:26:58;35;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:27:59;35;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:28:58;35;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:29:59;36;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:30:59;36;7;8;0;2;2;1;0;0;0;2
2020-12-30 01:31:58;38;8;8;0;2;2;1;0;0;0;2
2020-12-30 01:32:59;41;8;10;0;2;2;1;0;2;0;2
2020-12-30 01:33:59;41;8;10;0;2;2;1;0;2;0;2
2020-12-30 01:34:59;41;8;10;0;2;2;1;0;2;0;2
2020-12-30 01:35:58;41;8;9;0;2;2;2;0;2;0;2
2020-12-30 01:36:59;41;8;8;0;2;2;3;0;2;0;2
2020-12-30 01:37:58;41;8;8;0;2;2;3;0;2;0;2
2020-12-30 01:38:59;41;8;8;0;2;2;3;0;2;0;2
2020-12-30 01:39:58;41;8;8;0;2;2;3;0;2;0;2
2020-12-30 01:40:59;42;8;9;0;2;2;3;0;2;0;2
2020-12-30 01:41:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:42:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:43:58;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:44:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:45:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:46:58;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:47:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:48:59;43;8;10;0;2;2;3;0;2;0;2
2020-12-30 01:49:58;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:50:59;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:51:58;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:52:59;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:54:00;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:54:58;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:55:59;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:56:58;43;9;10;0;2;2;3;0;2;0;2
2020-12-30 01:57:59;43;9;10;0;2;2;3;0;2;0;2
