datetime;total_votes;Tae4ka;yachik;jovan;Villanelle;telegraf;Есения;Grit;Mindsplitter;UndeadMoroz;Maxkatz
2021-01-06 00:00:59;0;0;1;0;0;0;0;0;0;0;0
2021-01-06 00:01:58;4;0;4;0;0;0;0;0;0;0;0
2021-01-06 00:02:59;4;0;4;0;0;0;0;0;0;0;0
2021-01-06 00:03:58;5;0;5;0;0;0;0;0;0;0;0
2021-01-06 00:04:59;5;0;5;0;0;0;0;0;0;0;0
2021-01-06 00:05:59;6;0;5;1;0;0;0;0;0;0;0
2021-01-06 00:06:59;6;0;5;1;0;0;0;0;0;0;0
2021-01-06 00:07:58;6;0;5;1;0;0;0;0;0;0;0
2021-01-06 00:08:59;6;0;5;1;0;0;0;0;0;0;0
2021-01-06 00:09:58;7;0;6;1;0;0;0;0;0;0;0
2021-01-06 00:10:59;7;0;6;1;0;0;0;0;0;0;0
2021-01-06 00:11:59;8;1;6;1;0;0;0;0;0;0;0
2021-01-06 00:12:58;9;1;7;1;0;0;0;0;0;0;0
2021-01-06 00:13:59;9;1;7;1;0;0;0;0;0;0;0
2021-01-06 00:14:59;9;1;7;1;0;0;0;0;0;0;0
2021-01-06 00:15:58;9;1;7;1;0;0;0;0;0;0;0
2021-01-06 00:16:59;10;2;6;2;0;0;0;0;0;0;0
2021-01-06 00:17:59;11;2;7;2;0;0;0;0;0;0;0
2021-01-06 00:18:58;11;2;7;2;0;0;0;0;0;0;0
2021-01-06 00:19:59;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:20:59;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:21:58;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:22:59;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:23:59;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:24:58;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:25:59;13;2;7;3;0;0;0;0;0;0;0
2021-01-06 00:26:59;14;2;7;3;1;0;0;0;0;0;0
2021-01-06 00:27:58;15;2;7;3;1;0;0;0;0;0;0
2021-01-06 00:28:59;15;2;7;3;1;0;0;0;0;0;0
2021-01-06 00:29:59;16;2;7;3;1;0;1;0;0;0;0
2021-01-06 00:30:58;16;2;7;3;1;0;1;0;0;0;0
2021-01-06 00:31:59;16;2;7;3;1;0;1;0;0;0;0
2021-01-06 00:32:59;16;2;7;3;1;0;1;0;0;0;0
2021-01-06 00:33:58;16;2;7;3;1;0;1;0;0;0;0
2021-01-06 00:34:59;17;2;7;3;1;0;1;1;0;0;0
2021-01-06 00:35:59;17;2;7;3;1;0;1;1;0;0;0
2021-01-06 00:36:58;17;2;6;3;1;0;1;2;0;0;0
2021-01-06 00:37:59;18;3;6;3;1;0;1;2;0;0;0
2021-01-06 00:38:58;19;3;6;3;1;0;1;2;0;0;0
2021-01-06 00:39:59;20;3;6;3;1;0;2;2;0;0;0
2021-01-06 00:40:58;21;4;6;3;1;0;2;2;0;0;0
2021-01-06 00:41:59;21;4;6;3;1;0;2;2;0;0;0
2021-01-06 00:42:59;21;4;6;3;1;0;2;2;0;0;0
2021-01-06 00:43:58;21;4;6;3;1;0;2;2;0;0;0
2021-01-06 00:44:59;23;5;6;3;2;0;2;2;0;0;0
2021-01-06 00:45:58;23;5;6;3;2;0;2;2;0;0;0
2021-01-06 00:46:59;24;5;6;4;2;0;2;2;0;0;0
2021-01-06 00:47:59;24;5;6;4;2;0;2;2;0;0;0
2021-01-06 00:48:58;25;5;6;4;2;0;2;2;0;1;0
2021-01-06 00:49:58;25;5;6;4;2;0;2;2;0;1;0
2021-01-06 00:50:59;25;5;6;4;2;0;2;2;0;1;0
2021-01-06 00:51:59;25;5;6;4;2;0;2;2;0;1;0
2021-01-06 00:52:58;27;7;6;4;2;0;2;2;0;1;0
2021-01-06 00:53:59;28;7;7;4;2;0;2;2;0;1;0
2021-01-06 00:54:59;28;7;7;4;2;0;2;2;0;1;0
2021-01-06 00:55:58;29;7;8;4;2;0;2;2;0;1;0
2021-01-06 00:56:59;30;7;9;4;2;0;2;2;0;1;0
2021-01-06 00:57:59;30;7;9;4;2;0;2;2;0;1;0
2021-01-06 00:58:58;30;7;10;4;2;0;2;1;0;1;0
2021-01-06 00:59:59;30;7;10;4;2;0;2;1;0;1;0
2021-01-06 01:00:58;31;8;10;4;2;0;2;1;0;1;0
2021-01-06 01:01:59;32;8;10;4;3;0;2;1;0;1;0
2021-01-06 01:02:59;32;8;10;4;3;0;2;1;0;1;0
2021-01-06 01:03:58;33;8;10;5;3;0;2;1;0;1;0
2021-01-06 01:04:59;33;8;10;5;3;0;2;1;0;1;0
2021-01-06 01:05:59;34;8;11;5;3;0;2;1;0;1;0
2021-01-06 01:06:58;34;8;11;5;3;0;2;1;0;1;0
2021-01-06 01:07:59;34;8;11;5;3;0;2;1;0;1;0
2021-01-06 01:08:59;35;8;11;5;4;0;2;1;0;1;0
2021-01-06 01:09:58;35;8;11;5;4;0;2;1;0;1;0
2021-01-06 01:10:59;35;8;11;5;4;0;2;1;0;1;0
2021-01-06 01:11:58;36;8;11;5;4;0;2;1;0;1;1
2021-01-06 01:12:59;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:13:59;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:15:00;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:15:58;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:16:59;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:18:00;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:18:58;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:19:59;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:20:58;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:21:59;37;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:22:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:23:58;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:24:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:25:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:26:58;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:27:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:28:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:29:58;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:30:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:31:58;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:32:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:33:59;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:34:58;38;8;12;5;4;0;2;1;0;1;1
2021-01-06 01:35:59;39;9;12;5;4;0;2;1;0;1;1
2021-01-06 01:36:58;40;9;12;5;4;0;3;1;0;1;1
2021-01-06 01:37:59;40;9;12;5;4;0;3;1;0;1;1
2021-01-06 01:38:59;40;9;12;5;4;0;3;1;0;1;1
2021-01-06 01:39:58;40;9;12;5;4;0;3;1;0;1;1
2021-01-06 01:40:59;40;9;12;5;4;0;3;1;0;1;1
2021-01-06 01:41:58;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:42:59;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:43:59;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:44:58;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:45:59;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:46:58;41;10;12;5;4;0;3;1;0;1;1
2021-01-06 01:47:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:48:58;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:49:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:50:58;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:51:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:52:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:53:58;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:54:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:55:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:56:58;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:57:59;41;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:58:58;42;11;12;5;4;0;3;1;0;1;1
2021-01-06 01:59:59;42;11;12;5;4;0;3;1;0;1;1
2021-01-06 02:00:59;44;12;12;5;4;0;3;0;0;1;2
2021-01-06 02:01:58;45;12;12;5;4;0;4;1;0;1;2
2021-01-06 02:02:59;46;12;13;5;4;0;4;1;0;1;2
2021-01-06 02:03:59;46;12;13;5;4;0;4;1;0;1;2
2021-01-06 02:04:58;46;12;13;5;4;0;4;1;0;1;2
2021-01-06 02:05:59;48;13;13;6;4;0;4;1;0;1;2
