datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 00:01:00;2;0;0;0;0;0;0;1;0;0;0
2021-01-13 00:01:58;2;0;0;0;0;0;0;1;0;0;0
2021-01-13 00:02:59;2;0;0;0;0;0;0;1;0;0;0
2021-01-13 00:03:59;3;0;1;0;0;0;0;1;0;0;0
2021-01-13 00:04:58;5;0;1;0;0;0;1;2;0;0;0
2021-01-13 00:05:59;6;0;1;0;0;0;1;2;1;0;0
2021-01-13 00:06:59;6;0;1;0;0;0;1;1;1;0;1
2021-01-13 00:07:58;10;0;1;2;0;0;1;1;1;0;2
2021-01-13 00:08:59;13;0;2;2;0;0;1;1;1;0;2
2021-01-13 00:09:59;13;0;2;2;0;0;1;1;1;0;2
2021-01-13 00:10:58;14;0;3;2;0;0;1;1;1;0;2
2021-01-13 00:11:59;16;0;4;2;0;0;1;1;1;1;2
2021-01-13 00:12:58;16;0;4;2;0;0;1;1;1;1;2
2021-01-13 00:13:59;18;0;5;3;0;0;1;1;1;1;2
2021-01-13 00:14:59;20;0;6;3;0;0;1;1;1;0;2
2021-01-13 00:15:58;22;0;6;3;0;0;1;1;3;1;2
2021-01-13 00:16:59;24;0;7;4;0;0;1;1;3;1;2
2021-01-13 00:17:59;25;0;7;4;0;0;1;0;3;1;2
2021-01-13 00:18:58;26;0;8;4;0;0;1;0;3;1;2
2021-01-13 00:19:59;26;0;8;4;0;0;1;0;3;1;2
2021-01-13 00:20:58;27;0;9;4;0;0;1;0;3;1;2
2021-01-13 00:21:59;28;0;9;4;0;0;1;0;3;1;2
2021-01-13 00:22:59;29;0;10;4;0;0;1;0;3;1;2
2021-01-13 00:23:58;30;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:24:59;30;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:25:59;30;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:26:58;30;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:27:59;30;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:28:59;31;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:29:58;32;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:30:59;32;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:31:59;32;0;10;4;0;0;1;0;3;0;2
2021-01-13 00:32:58;33;0;11;4;0;0;1;0;3;0;2
2021-01-13 00:33:59;35;0;11;4;0;0;2;1;4;1;2
2021-01-13 00:34:59;36;0;11;4;0;0;2;2;4;1;2
2021-01-13 00:35:58;38;0;13;4;0;0;2;2;4;1;2
2021-01-13 00:36:59;39;0;14;4;0;0;2;2;4;1;2
2021-01-13 00:37:59;40;0;15;4;0;0;2;2;4;1;2
2021-01-13 00:38:58;40;0;15;4;0;0;2;2;4;1;2
2021-01-13 00:39:59;40;0;15;4;0;0;2;2;4;1;2
2021-01-13 00:40:59;40;0;15;4;0;0;2;2;4;1;2
2021-01-13 00:41:58;41;0;15;4;0;0;2;2;4;0;2
