datetime;total_votes;Jey;Mindsplitter;Rumpelstilzchen;Yardrey;Good;Volodya_FM;mama_p_zh;telegraf;pazoozoo;Bruja_
2021-01-20 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-01-20 00:01:59;0;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:02:59;0;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:03:58;0;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:04:59;0;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:05:59;2;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:06:58;2;0;0;0;0;0;0;0;1;0;0
2021-01-20 00:07:59;3;0;0;0;0;0;0;1;1;0;0
2021-01-20 00:08:59;4;0;0;0;0;0;0;1;1;0;0
2021-01-20 00:09:58;6;0;0;0;1;0;0;2;1;0;0
2021-01-20 00:10:59;7;0;0;0;1;0;0;3;1;0;0
2021-01-20 00:11:59;7;0;0;0;1;0;0;3;1;0;0
2021-01-20 00:12:59;8;0;0;0;1;0;0;4;1;0;0
2021-01-20 00:13:59;9;0;1;0;2;0;0;3;1;0;0
2021-01-20 00:14:58;10;1;1;0;2;0;0;3;1;0;0
2021-01-20 00:15:59;11;1;1;1;2;0;0;3;1;0;0
2021-01-20 00:16:59;12;1;1;2;2;0;0;3;1;0;0
2021-01-20 00:17:58;13;1;1;2;2;0;0;3;1;0;0
2021-01-20 00:18:59;16;2;1;2;2;0;0;3;1;0;1
2021-01-20 00:19:58;17;2;1;2;2;0;0;3;0;0;1
2021-01-20 00:20:59;19;2;0;3;2;0;0;3;1;0;1
2021-01-20 00:21:58;21;2;1;3;2;0;0;3;1;0;2
2021-01-20 00:22:59;23;2;1;3;2;0;0;3;2;0;2
2021-01-20 00:23:59;24;2;1;3;2;0;0;3;3;0;2
2021-01-20 00:24:58;24;2;1;3;2;0;0;3;3;0;2
2021-01-20 00:25:59;24;2;1;3;2;0;0;3;3;0;2
2021-01-20 00:26:59;24;2;1;3;2;0;0;3;3;0;2
2021-01-20 00:27:58;24;2;1;3;2;0;0;3;3;0;2
2021-01-20 00:28:59;25;2;1;3;2;0;0;4;3;0;2
2021-01-20 00:29:59;26;2;2;3;2;0;0;4;3;0;2
2021-01-20 00:30:58;26;2;2;3;2;0;0;4;3;0;2
2021-01-20 00:31:59;26;2;2;3;2;0;0;4;3;0;2
2021-01-20 00:32:59;27;2;3;3;2;0;0;4;3;0;2
2021-01-20 00:33:58;28;2;3;4;2;0;0;4;3;0;2
2021-01-20 00:34:59;28;2;3;4;2;0;0;4;3;0;2
2021-01-20 00:35:59;30;3;3;5;2;0;0;4;3;2;2
2021-01-20 00:36:58;30;3;3;5;2;0;0;4;3;2;2
2021-01-20 00:37:59;30;3;3;5;2;0;0;4;3;2;2
2021-01-20 00:38:59;33;3;4;5;2;0;0;4;3;2;3
2021-01-20 00:39:58;33;3;4;5;2;0;0;4;3;2;3
2021-01-20 00:40:59;34;3;4;6;2;0;0;4;3;2;3
2021-01-20 00:41:58;35;4;4;6;2;0;0;4;3;2;3
2021-01-20 00:42:59;36;4;4;6;3;0;0;4;3;2;3
2021-01-20 00:43:59;36;4;4;7;3;0;0;3;3;2;3
2021-01-20 00:44:58;37;4;4;7;3;0;0;3;3;2;3
2021-01-20 00:45:59;37;4;4;7;3;0;0;3;3;2;3
