datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 00:00:59;3;0;1;1;0;0;0;0;0;0;0
2021-02-10 00:01:59;3;0;1;1;0;0;0;0;0;0;0
2021-02-10 00:02:58;5;0;1;2;0;0;0;0;0;0;0
2021-02-10 00:03:59;7;0;1;3;0;0;0;0;0;0;0
2021-02-10 00:04:58;8;0;2;2;1;0;0;0;0;0;0
2021-02-10 00:05:59;9;0;3;2;1;0;0;0;0;0;0
2021-02-10 00:06:58;10;0;3;2;1;0;0;0;0;1;0
2021-02-10 00:07:59;11;0;3;2;1;0;0;0;0;2;0
2021-02-10 00:08:59;11;0;3;2;1;0;0;0;0;2;0
2021-02-10 00:09:58;11;0;3;2;1;0;0;0;0;2;0
2021-02-10 00:10:59;12;0;3;2;1;0;0;1;0;2;0
2021-02-10 00:11:59;12;0;3;2;1;0;0;1;0;2;0
2021-02-10 00:12:58;15;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:13:59;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:14:59;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:15:58;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:16:59;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:17:58;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:18:59;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:19:59;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:20:58;17;0;4;2;1;0;0;2;0;2;0
2021-02-10 00:21:59;19;0;5;2;0;0;0;2;1;2;0
2021-02-10 00:22:59;19;0;5;2;0;0;0;2;1;2;0
2021-02-10 00:23:58;20;0;5;3;0;0;0;2;1;2;0
2021-02-10 00:24:59;20;0;5;3;0;0;0;2;1;2;0
2021-02-10 00:25:59;21;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:26:58;21;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:27:59;21;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:28:58;21;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:29:59;22;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:30:59;22;0;5;3;1;0;0;2;2;2;0
2021-02-10 00:31:58;24;0;5;4;1;0;0;3;2;2;0
2021-02-10 00:32:59;24;0;5;4;1;0;0;3;2;2;0
2021-02-10 00:33:59;25;0;5;4;2;0;0;3;2;2;0
2021-02-10 00:34:58;26;0;5;5;2;0;0;3;2;2;0
2021-02-10 00:35:59;27;0;5;5;2;0;0;4;2;2;0
2021-02-10 00:36:58;28;0;5;5;2;0;0;4;2;2;0
2021-02-10 00:37:59;28;0;5;5;2;0;0;4;2;2;0
2021-02-10 00:38:59;29;0;5;5;2;0;0;5;2;2;0
2021-02-10 00:39:58;29;0;5;5;2;0;0;5;2;2;0
2021-02-10 00:40:59;30;0;5;6;2;0;0;5;2;2;0
2021-02-10 00:41:59;31;0;5;6;3;0;0;5;2;2;0
2021-02-10 00:42:58;32;0;5;7;3;0;0;5;2;2;0
2021-02-10 00:43:59;32;0;5;7;3;0;0;5;2;2;0
2021-02-10 00:44:58;32;0;5;7;3;0;0;5;2;2;0
2021-02-10 00:45:59;33;0;5;7;3;0;0;6;2;2;0
2021-02-10 00:46:58;33;0;5;7;3;0;0;6;2;2;0
2021-02-10 00:47:59;33;0;5;7;3;0;0;6;2;2;0
2021-02-10 00:48:59;34;0;6;7;3;0;0;6;2;2;0
2021-02-10 00:49:58;34;0;6;7;3;0;0;6;2;2;0
2021-02-10 00:50:59;35;0;6;7;3;1;0;6;2;2;0
2021-02-10 00:51:59;36;0;6;7;3;1;0;6;2;2;0
2021-02-10 00:52:58;36;0;6;7;3;0;0;6;2;2;0
