datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:03:58;0;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:04:59;2;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:05:58;2;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:06:59;3;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:07:59;4;0;0;0;0;0;0;0;0;0;0
2021-02-17 00:08:58;5;0;0;0;0;1;0;0;0;0;0
2021-02-17 00:09:59;6;0;0;0;0;2;0;0;0;0;0
2021-02-17 00:10:59;6;0;0;0;0;2;0;0;0;0;0
2021-02-17 00:11:58;8;0;2;0;0;2;0;0;0;0;0
2021-02-17 00:12:59;9;0;2;0;0;2;0;0;0;0;0
2021-02-17 00:13:59;9;0;2;0;0;2;0;0;0;0;0
2021-02-17 00:14:58;10;0;2;0;0;3;0;0;0;0;0
2021-02-17 00:15:59;11;0;2;0;0;3;0;0;0;0;0
2021-02-17 00:16:58;12;0;3;0;0;3;0;0;0;0;0
2021-02-17 00:17:59;13;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:18:58;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:19:59;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:20:59;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:21:58;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:22:59;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:23:59;14;0;3;0;0;4;0;0;0;0;0
2021-02-17 00:24:58;15;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:25:59;16;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:26:58;16;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:27:59;16;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:28:59;16;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:29:58;16;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:30:59;17;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:31:59;17;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:32:59;18;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:33:58;18;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:34:59;18;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:35:59;18;0;3;0;0;4;0;1;0;0;0
2021-02-17 00:36:58;19;0;4;0;0;4;0;1;0;0;0
2021-02-17 00:37:59;19;0;4;0;0;4;0;1;0;0;0
2021-02-17 00:38:58;19;0;4;0;0;4;0;1;0;0;0
2021-02-17 00:39:59;19;0;4;0;0;4;0;1;0;0;0
