datetime;total_votes;diliago;Dirtylieutenant;shamanka2_1;UndeadMoroz;EMAILWARENFABRIK;Есения;KOCTOPE3;a5urbanipa1;shapen;kross
2021-02-24 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-02-24 00:01:59;0;1;0;0;0;0;0;0;0;0;0
2021-02-24 00:02:59;3;1;2;0;0;0;0;0;0;0;0
2021-02-24 00:03:58;4;1;2;0;0;0;0;0;0;0;0
2021-02-24 00:04:59;6;2;3;0;0;0;0;0;0;0;0
2021-02-24 00:05:59;8;1;5;1;0;0;0;0;0;0;0
2021-02-24 00:06:58;9;1;5;2;0;0;0;0;0;0;0
2021-02-24 00:07:59;10;1;5;2;0;0;1;0;0;0;0
2021-02-24 00:08:59;11;1;5;2;0;0;1;0;0;0;0
2021-02-24 00:09:58;12;1;5;3;0;0;1;0;0;0;0
2021-02-24 00:10:59;12;1;5;3;0;0;1;0;0;0;0
2021-02-24 00:11:59;13;1;5;3;1;0;1;0;0;0;0
2021-02-24 00:12:58;14;1;5;3;1;0;2;0;0;0;0
2021-02-24 00:13:59;15;1;6;3;1;0;2;0;0;0;0
2021-02-24 00:14:59;15;1;6;3;1;0;2;0;0;0;0
2021-02-24 00:15:58;15;1;6;3;1;0;2;0;0;0;0
2021-02-24 00:16:59;17;1;7;3;2;0;2;0;0;0;0
2021-02-24 00:17:59;17;1;7;3;2;0;2;0;0;0;0
2021-02-24 00:18:59;17;1;7;3;2;0;2;0;0;0;0
2021-02-24 00:19:58;18;2;7;3;2;0;2;0;0;0;0
2021-02-24 00:20:59;18;2;7;3;2;0;2;0;0;0;0
2021-02-24 00:21:58;18;2;7;3;2;0;2;0;0;0;0
2021-02-24 00:22:59;18;2;7;3;2;0;2;0;0;0;0
2021-02-24 00:23:59;19;2;8;3;2;0;2;0;0;0;0
2021-02-24 00:24:58;19;2;8;3;2;0;2;0;0;0;0
2021-02-24 00:25:59;19;2;8;3;2;0;2;0;0;0;0
2021-02-24 00:26:59;20;2;8;3;2;0;2;0;0;0;0
2021-02-24 00:27:58;21;2;9;3;2;0;2;0;0;0;0
2021-02-24 00:28:59;21;2;9;3;2;0;2;0;0;0;0
2021-02-24 00:29:59;21;2;9;3;2;0;2;0;0;0;0
2021-02-24 00:30:58;24;3;10;3;2;0;2;0;0;0;0
2021-02-24 00:31:59;25;3;10;4;2;0;2;0;0;0;0
2021-02-24 00:32:59;26;3;11;4;2;0;2;0;0;0;0
2021-02-24 00:33:58;26;3;11;4;2;0;2;0;0;0;0
2021-02-24 00:34:59;27;4;11;4;2;0;2;0;0;0;0
2021-02-24 00:35:59;27;4;11;4;2;0;2;0;0;0;0
2021-02-24 00:36:58;27;4;11;4;2;0;2;0;0;0;0
2021-02-24 00:37:59;27;4;11;4;2;0;2;0;0;0;0
2021-02-24 00:38:59;29;5;12;4;2;0;2;0;0;0;0
2021-02-24 00:39:58;29;5;12;4;2;0;2;0;0;0;0
2021-02-24 00:40:59;29;5;12;4;2;0;2;0;0;0;0
2021-02-24 00:41:59;29;5;12;4;2;0;2;0;0;0;0
2021-02-24 00:42:58;29;5;12;4;2;0;2;0;0;0;0
2021-02-24 00:43:59;30;5;13;4;2;0;2;0;0;0;0
2021-02-24 00:44:59;30;5;13;4;2;0;2;0;0;0;0
2021-02-24 00:45:58;31;6;13;4;2;0;2;0;0;0;0
2021-02-24 00:46:59;31;6;13;4;2;0;2;0;0;0;0
2021-02-24 00:47:59;31;6;13;4;2;0;2;0;0;0;0
2021-02-24 00:48:58;31;6;13;5;2;0;2;0;0;0;0
2021-02-24 00:49:59;32;7;13;5;2;0;2;0;0;0;0
2021-02-24 00:50:58;32;7;13;5;2;0;2;0;0;0;0
2021-02-24 00:51:59;33;7;13;5;2;0;2;1;0;0;0
2021-02-24 00:52:59;33;7;13;5;2;0;2;1;0;0;0
2021-02-24 00:53:58;33;7;13;5;2;0;2;1;0;0;0
2021-02-24 00:54:59;33;7;13;5;2;0;2;1;0;0;0
2021-02-24 00:55:58;34;7;14;5;2;0;2;1;0;0;0
2021-02-24 00:56:59;35;7;14;5;2;0;2;1;0;0;0
2021-02-24 00:57:58;35;7;14;5;2;0;2;1;0;0;0
2021-02-24 00:58:59;36;8;14;5;2;0;2;1;0;0;0
2021-02-24 00:59:58;36;8;14;5;2;0;2;1;0;0;0
2021-02-24 01:00:59;36;8;14;5;2;0;2;1;0;0;0
2021-02-24 01:01:59;37;8;15;5;2;0;2;1;0;0;0
2021-02-24 01:02:58;36;8;14;5;2;0;2;1;0;0;0
2021-02-24 01:03:59;37;9;14;5;2;0;2;1;0;0;0
2021-02-24 01:04:59;37;9;14;5;2;0;2;1;0;0;0
2021-02-24 01:05:58;37;9;14;5;2;0;2;1;0;0;0
2021-02-24 01:06:59;37;9;14;5;2;0;2;1;0;0;0
2021-02-24 01:08:00;38;10;14;5;2;0;2;1;0;0;0
2021-02-24 01:08:58;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:09:59;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:10:58;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:11:59;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:12:59;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:13:58;39;11;14;5;2;0;2;1;0;0;0
2021-02-24 01:14:59;42;12;15;5;2;0;2;2;0;0;0
2021-02-24 01:15:58;43;13;15;5;2;0;2;2;0;0;0
2021-02-24 01:16:59;44;14;15;5;2;0;2;2;0;0;0
2021-02-24 01:17:59;44;14;15;5;2;0;2;2;0;0;0
2021-02-24 01:18:58;46;14;16;5;2;0;2;2;0;0;0
2021-02-24 01:19:59;48;14;16;5;2;2;2;2;0;0;0
2021-02-24 01:20:58;48;14;16;5;2;2;2;2;0;0;0
2021-02-24 01:21:59;49;15;16;5;2;2;2;2;0;0;0
2021-02-24 01:22:59;49;15;16;5;2;2;2;2;0;0;0
2021-02-24 01:23:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:24:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:25:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:26:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:27:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:28:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:29:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:30:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:31:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:32:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:33:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:34:58;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:35:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:36:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:37:58;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:38:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:39:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:40:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:41:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:42:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:43:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:44:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:45:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:46:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:47:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:48:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:49:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:50:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:51:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:52:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:53:58;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:54:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:55:59;53;17;16;5;2;2;3;2;0;0;0
