datetime;total_votes;UndeadMoroz;jovan;lublu-zubi;pavelomg;nzr;violetshit;a5urbanipa1;nr;Есения;kross
2021-03-03 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-03 00:01:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-03 00:02:58;0;0;0;0;0;0;0;0;0;0;0
2021-03-03 00:03:59;2;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:04:59;2;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:05:58;3;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:06:59;3;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:07:58;3;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:08:59;3;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:09:59;3;0;0;0;1;0;1;0;0;0;0
2021-03-03 00:10:58;4;1;0;0;1;0;1;0;0;0;0
2021-03-03 00:11:59;5;1;0;0;1;0;1;0;0;0;1
2021-03-03 00:12:59;6;1;0;0;1;0;1;0;0;0;1
2021-03-03 00:13:58;7;1;0;0;1;0;2;0;0;0;1
2021-03-03 00:14:59;8;1;0;1;1;0;2;0;0;0;1
2021-03-03 00:15:59;8;1;0;1;1;0;2;0;0;0;1
2021-03-03 00:16:58;9;1;1;1;1;0;2;0;0;0;1
2021-03-03 00:17:59;10;1;1;1;1;0;3;0;0;0;1
2021-03-03 00:18:59;10;1;1;1;1;0;3;0;0;0;1
2021-03-03 00:19:58;10;1;1;1;1;0;3;0;0;0;1
2021-03-03 00:20:59;11;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:21:59;11;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:22:58;11;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:23:59;11;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:24:59;12;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:25:58;13;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:26:59;13;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:27:59;13;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:28:58;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:29:59;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:30:59;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:31:58;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:32:59;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:33:58;14;1;2;1;1;0;3;0;0;0;1
2021-03-03 00:34:59;15;2;2;1;1;0;3;0;0;0;1
2021-03-03 00:35:59;15;2;2;1;1;0;3;0;0;0;1
2021-03-03 00:36:58;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:37:59;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:39:00;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:39:58;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:40:59;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:41:58;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:42:59;17;3;2;1;2;0;3;0;0;0;1
2021-03-03 00:43:59;18;4;2;1;2;0;3;0;0;0;1
2021-03-03 00:44:58;20;4;2;1;2;0;4;0;0;0;1
2021-03-03 00:45:59;20;4;2;1;2;0;4;0;0;0;1
2021-03-03 00:46:59;21;4;2;1;2;0;5;0;0;0;1
2021-03-03 00:47:59;21;4;2;1;2;0;5;0;0;0;1
2021-03-03 00:48:59;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:49:58;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:50:59;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:51:59;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:52:58;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:53:59;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:54:59;22;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:55:58;23;4;2;2;2;1;5;0;0;0;1
2021-03-03 00:56:59;23;4;2;2;2;1;5;0;0;0;1
2021-03-03 00:57:59;24;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:58:58;24;4;2;2;2;0;5;0;0;0;1
2021-03-03 00:59:59;25;4;2;3;2;0;5;0;0;0;1
2021-03-03 01:00:58;25;4;2;3;2;0;5;0;0;0;1
2021-03-03 01:01:59;25;4;2;3;2;1;4;0;0;0;2
2021-03-03 01:02:59;25;4;2;3;2;1;4;0;0;0;2
2021-03-03 01:03:58;25;4;2;3;2;1;4;0;0;0;2
2021-03-03 01:04:59;25;4;2;3;2;1;4;0;0;0;2
2021-03-03 01:05:59;24;4;2;3;1;1;4;0;0;1;2
2021-03-03 01:06:58;24;4;2;3;1;1;4;0;0;1;2
2021-03-03 01:07:59;24;4;2;3;1;1;4;0;0;1;2
2021-03-03 01:09:00;25;4;2;4;1;1;4;0;0;1;2
2021-03-03 01:09:58;25;4;2;4;1;1;4;0;0;1;2
2021-03-03 01:10:59;25;4;2;4;1;1;4;0;0;1;2
2021-03-03 01:11:58;25;4;2;4;1;1;4;0;0;1;2
2021-03-03 01:12:59;26;4;2;5;1;1;4;0;0;1;2
2021-03-03 01:13:59;26;4;2;5;1;1;4;0;0;1;2
2021-03-03 01:14:58;26;4;2;5;1;1;4;0;0;1;2
2021-03-03 01:15:59;26;4;2;5;1;1;4;0;0;1;2
2021-03-03 01:16:59;26;4;2;5;1;1;4;0;0;1;2
2021-03-03 01:17:58;27;4;2;5;1;2;4;0;0;1;2
2021-03-03 01:18:59;27;4;2;5;1;2;4;0;0;1;2
2021-03-03 01:19:59;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:20:58;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:21:59;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:23:00;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:23:58;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:24:59;28;4;2;5;1;2;4;0;0;0;2
2021-03-03 01:25:58;28;4;2;5;1;2;4;0;0;0;2
