datetime;total_votes;xtend;GlobetrotterXL;vjik;norpo;FRANNI;Есения;GraGal;kotophalk;kn;brammator
2021-03-10 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-10 00:01:59;2;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:02:58;2;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:03:59;2;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:04:59;4;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:05:58;4;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:06:59;4;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:07:58;4;0;0;0;0;0;0;1;0;0;0
2021-03-10 00:08:59;7;0;0;2;0;0;1;1;0;0;0
2021-03-10 00:09:59;8;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:10:58;8;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:11:59;9;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:12:58;9;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:13:59;9;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:14:59;9;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:15:58;9;0;0;3;0;0;1;1;0;0;0
2021-03-10 00:16:59;10;0;0;4;0;0;1;1;0;0;0
2021-03-10 00:17:59;10;0;0;4;0;0;1;1;0;0;0
2021-03-10 00:18:58;10;0;0;4;0;0;1;1;0;0;0
2021-03-10 00:19:59;10;0;0;4;0;0;1;1;0;0;0
2021-03-10 00:20:58;10;0;0;4;0;0;1;1;0;0;0
2021-03-10 00:21:59;11;0;0;4;0;0;2;1;0;0;0
2021-03-10 00:22:59;11;0;0;4;0;0;2;1;0;0;0
2021-03-10 00:23:59;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:24:58;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:25:59;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:26:58;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:27:59;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:28:59;12;0;0;4;0;0;3;1;0;0;0
2021-03-10 00:29:58;14;0;1;4;0;0;3;2;0;0;0
2021-03-10 00:30:59;14;0;1;4;0;0;3;2;0;0;0
2021-03-10 00:31:58;14;0;1;4;0;0;3;2;0;0;0
2021-03-10 00:32:59;14;0;1;4;0;0;3;2;0;0;0
2021-03-10 00:33:59;16;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:34:58;16;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:35:59;16;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:36:58;16;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:37:59;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:38:59;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:39:58;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:40:59;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:41:59;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:42:59;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:43:58;17;1;2;4;0;0;3;2;0;0;0
2021-03-10 00:44:59;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:45:59;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:46:58;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:47:59;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:48:59;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:49:58;18;1;3;4;0;0;3;2;0;0;0
2021-03-10 00:50:59;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:51:58;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:52:59;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:53:58;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:54:59;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:55:59;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:56:58;19;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:57:59;20;0;3;4;0;0;3;2;1;0;0
2021-03-10 00:58:59;21;0;3;5;0;0;3;2;1;0;0
2021-03-10 00:59:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:00:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:01:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:02:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:03:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:04:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:05:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:06:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:07:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:08:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:09:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:10:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:11:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:12:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:13:58;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:14:59;22;0;3;5;1;0;3;2;0;0;0
2021-03-10 01:15:58;23;0;3;6;1;0;3;2;0;0;0
2021-03-10 01:16:59;23;0;3;6;1;0;3;2;0;0;0
2021-03-10 01:17:59;23;0;3;6;1;0;3;2;0;0;0
2021-03-10 01:18:58;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:19:59;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:20:59;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:21:58;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:22:59;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:23:59;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:24:58;25;0;4;6;1;0;3;3;0;0;0
2021-03-10 01:25:59;26;0;4;7;1;0;3;3;0;0;0
2021-03-10 01:26:59;26;0;4;7;1;0;3;3;0;0;0
2021-03-10 01:27:58;26;0;4;7;1;0;3;3;0;0;0
2021-03-10 01:28:59;27;1;4;7;2;0;3;3;1;0;0
2021-03-10 01:29:59;27;1;4;7;2;0;3;3;1;0;0
2021-03-10 01:30:58;27;1;4;7;2;0;3;3;1;0;0
2021-03-10 01:32:00;27;1;4;7;2;0;3;3;1;0;0
2021-03-10 01:32:58;27;1;4;7;2;0;3;3;1;0;0
2021-03-10 01:33:59;28;1;5;7;2;0;3;3;1;0;0
2021-03-10 01:34:59;29;1;5;7;3;0;3;3;1;0;0
