datetime;total_votes;cyberworm;Есения;navalny;kaiL;GlobetrotterXL;Ikarus-garmoshka;ielarud;vjik;kotophalk;asap
2021-03-17 00:00:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-17 00:01:59;3;3;0;0;0;0;0;0;0;0;0
2021-03-17 00:02:59;5;3;2;0;0;0;0;0;0;0;0
2021-03-17 00:03:59;5;3;2;0;0;0;0;0;0;0;0
2021-03-17 00:04:58;5;3;2;0;0;0;0;0;0;0;0
2021-03-17 00:06:00;5;3;2;0;0;0;0;0;0;0;0
2021-03-17 00:06:58;6;3;3;0;0;0;0;0;0;0;0
2021-03-17 00:07:59;7;3;3;0;0;0;0;0;0;0;0
2021-03-17 00:08:59;7;3;3;0;0;0;0;0;0;0;0
2021-03-17 00:09:58;8;3;3;1;0;0;0;0;0;0;0
2021-03-17 00:10:59;9;3;3;1;0;0;0;0;0;0;0
2021-03-17 00:12:00;9;3;3;1;0;0;0;0;0;0;0
2021-03-17 00:12:58;9;3;3;1;0;0;0;0;0;0;0
2021-03-17 00:13:59;9;3;3;1;0;0;0;0;0;0;0
2021-03-17 00:14:58;10;4;3;1;0;0;0;0;0;0;0
2021-03-17 00:15:59;10;4;3;1;0;0;0;0;0;0;0
2021-03-17 00:16:59;10;4;3;1;0;0;0;0;0;0;0
2021-03-17 00:17:58;11;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:18:59;12;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:19:59;12;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:21:00;12;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:21:58;12;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:22:59;12;4;4;1;0;0;0;0;0;0;0
2021-03-17 00:23:59;13;4;4;1;0;1;0;0;0;0;0
2021-03-17 00:24:58;13;4;4;1;0;1;0;0;0;0;0
2021-03-17 00:25:59;14;5;4;1;0;1;0;0;0;0;0
2021-03-17 00:26:59;15;5;4;1;0;1;0;1;0;0;0
2021-03-17 00:27:58;18;5;4;2;0;1;0;1;0;0;0
2021-03-17 00:28:59;18;5;4;2;0;1;0;1;0;0;0
2021-03-17 00:29:59;19;5;4;2;0;2;0;1;0;0;0
2021-03-17 00:30:58;19;5;4;2;0;2;0;1;0;0;0
2021-03-17 00:31:59;19;5;4;2;0;2;0;1;0;0;0
2021-03-17 00:32:59;19;5;4;2;0;2;0;1;0;0;0
2021-03-17 00:33:58;19;5;4;2;0;2;0;1;0;0;0
2021-03-17 00:34:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:35:58;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:36:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:37:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:38:58;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:39:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:40:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:41:58;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:42:59;20;5;5;2;0;2;0;1;0;0;0
2021-03-17 00:43:58;22;6;5;2;0;2;0;1;0;0;0
2021-03-17 00:44:59;22;6;5;2;0;2;0;1;0;0;0
2021-03-17 00:45:59;22;6;5;2;0;2;0;1;0;0;0
2021-03-17 00:46:59;22;6;5;2;0;2;0;1;0;0;0
