datetime;total_votes;Ucsus;1917;vjik;Yardrey;Есения;navalny;Der_Sturmer;kotophalk;groundhog;Carrotin
2021-03-24 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-24 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2021-03-24 00:02:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-24 00:03:59;0;0;0;0;1;0;0;0;0;0;0
2021-03-24 00:04:58;3;0;1;1;1;0;0;0;0;0;0
2021-03-24 00:05:59;3;0;1;1;1;0;0;0;0;0;0
2021-03-24 00:06:59;5;0;2;1;1;0;0;1;0;0;0
2021-03-24 00:07:58;6;0;2;1;1;0;0;1;0;0;1
2021-03-24 00:08:59;6;0;2;1;1;0;0;1;0;0;1
2021-03-24 00:09:58;7;0;3;1;1;0;0;1;0;0;1
2021-03-24 00:10:59;7;0;3;1;1;0;0;1;0;0;1
2021-03-24 00:11:59;10;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:12:58;10;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:13:59;10;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:14:59;10;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:15:58;10;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:16:59;11;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:17:59;11;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:18:58;11;0;3;2;1;0;0;2;0;0;2
2021-03-24 00:19:59;12;0;4;2;1;0;0;2;0;0;2
2021-03-24 00:20:59;13;0;4;2;1;0;0;2;0;1;2
2021-03-24 00:21:59;15;1;4;3;1;0;0;2;0;1;2
2021-03-24 00:22:59;16;2;4;3;1;0;0;2;0;1;2
2021-03-24 00:23:59;16;2;4;3;1;0;0;2;0;1;2
2021-03-24 00:24:58;17;2;4;3;2;0;0;2;0;1;2
2021-03-24 00:25:59;17;2;4;3;2;0;0;2;0;1;2
2021-03-24 00:26:58;18;2;4;3;2;0;0;2;0;1;2
2021-03-24 00:27:59;18;2;4;3;2;0;0;2;0;1;2
2021-03-24 00:28:59;18;2;4;3;2;0;0;2;0;1;2
