datetime;total_votes;Bf109H;Duran;Rumpelstilzchen;KOCTOPE3;vjik;Есения;dma4004;EMAILWARENFABRIK;Ejik;kiLstrom
2021-03-31 00:00:59;0;0;0;0;0;0;0;0;0;0;0
2021-03-31 00:01:58;0;0;0;0;0;0;0;0;0;0;0
2021-03-31 00:02:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:03:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:04:58;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:05:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:06:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:07:58;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:08:59;0;1;0;0;0;0;0;0;0;0;0
2021-03-31 00:09:59;2;2;0;0;0;0;0;0;0;0;0
2021-03-31 00:10:59;2;2;0;0;0;0;0;0;0;0;0
2021-03-31 00:11:58;2;2;0;0;0;0;0;0;0;0;0
2021-03-31 00:12:59;3;2;0;1;0;0;0;0;0;0;0
2021-03-31 00:13:59;5;2;0;2;0;0;0;0;0;0;0
2021-03-31 00:15:00;5;2;0;2;0;0;0;0;0;0;0
2021-03-31 00:15:58;5;2;0;2;0;0;0;0;0;0;0
2021-03-31 00:16:59;5;2;0;2;0;0;0;0;0;0;0
2021-03-31 00:17:58;5;2;0;2;0;0;0;0;0;0;0
2021-03-31 00:18:59;7;3;0;2;0;0;0;0;0;0;0
2021-03-31 00:19:59;7;3;0;2;0;0;0;0;0;0;0
2021-03-31 00:20:58;7;3;0;2;0;0;0;0;0;0;0
2021-03-31 00:21:59;7;3;0;2;0;0;0;0;0;0;0
2021-03-31 00:22:59;8;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:23:58;8;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:24:59;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:25:59;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:26:58;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:27:59;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:28:58;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:29:59;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:30:59;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:31:58;9;3;1;2;0;0;0;0;0;0;0
2021-03-31 00:32:59;10;3;1;3;0;0;0;0;0;0;0
2021-03-31 00:33:59;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:34:58;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:35:59;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:36:58;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:37:59;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:38:59;11;3;1;3;0;1;0;0;0;0;0
2021-03-31 00:39:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:40:58;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:41:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:42:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:43:58;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:44:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:45:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:46:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:47:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:48:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:49:58;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:50:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:51:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:52:58;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:53:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:54:59;13;4;1;3;0;1;0;0;0;0;0
2021-03-31 00:55:59;14;4;1;3;0;2;0;0;0;0;0
2021-03-31 00:56:58;14;4;1;3;0;2;0;0;0;0;0
2021-03-31 00:57:59;14;4;1;3;0;2;0;0;0;0;0
2021-03-31 00:58:59;14;4;1;3;0;2;0;0;0;0;0
2021-03-31 00:59:58;14;4;1;3;0;2;0;0;0;0;0
2021-03-31 01:00:59;15;4;1;3;0;2;0;0;0;0;0
